name	SRX2026434	SRX2026414	SRX2026415	SRX2026416	SRX2026417	SRX2026436	SRX2026437	SRX2026412	SRX2026413	SRX2026418	SRX2026419	SRX2026432	SRX2026433	SRX2026430	SRX2026431	SRX2026421	SRX2026420	SRX2026423	SRX2026422	SRX2026425	SRX2026424	SRX2026427	SRX2026426	SRX2026429	SRX2026428	SRX2026435
hsa-miR-144-5p	844	254	80	333	486	1008	735	148	693	564	305	286	390	1113	246	263	148	386	68	292	440	334	579	791	1096	902	12784.0
hsa-miR-342-3p	506	783	493	866	105	473	233	950	416	292	188	268	320	454	150	615	252	479	307	440	355	998	1397	513	480	323	12656.0
hsa-miR-339-5p	263	377	175	462	267	495	675	285	258	763	245	705	625	274	458	714	298	237	244	667	333	417	649	1511	715	447	12559.0
hsa-miR-4508	1553	9	52	299	801	93	557	179	237	439	902	64	284	2366	506	244	165	306	59	160	578	137	173	374	366	1194	12094.5
hsa-miR-485-3p	56	639	566	906	320	194	237	315	469	617	425	144	945	529	254	453	118	374	1298	532	625	810	274	242	135	378	11855.0
hsa-miR-221-5p	264	740	493	628	245	404	502	411	244	544	112	528	365	132	442	220	181	539	455	845	641	619	902	617	400	286	11759.0
hsa-miR-493-5p	111	883	272	641	131	514	726	241	189	484	305	517	1094	382	427	541	114	311	617	286	274	642	437	746	429	342	11656.0
hsa-miR-30a-3p	475	321	222	492	312	294	550	774	508	294	121	349	337	486	181	224	86	957	270	516	480	917	940	357	679	512	11647.0
hsa-miR-340-3p	305	598	373	606	163	413	361	378	712	360	146	404	524	164	341	300	207	572	593	624	359	995	886	688	364	201	11637.0
hsa-miR-652-3p	471	265	103	284	168	349	635	219	259	290	200	417	785	215	291	560	111	357	266	705	322	769	1027	970	1047	412	11497.0
hsa-miR-206	234	168	284	213	2477	214	1068	209	1115	353	707	73	60	641	329	86	77	529	411	82	246	1019	257	239	255	132	11478.33
hsa-let-7a-3p	468	473	204	578	211	327	651	432	324	308	147	548	243	604	254	392	122	521	249	562	727	454	577	1091	530	480	11477.0
hsa-miR-15b-3p	1047	309	109	379	251	489	919	181	167	486	228	278	632	669	355	369	148	255	117	318	269	328	736	1192	859	337	11427.0
hsa-miR-320d	379	261	202	229	228	397	1041	712	212	209	317	1208	356	682	161	203	97	576	125	372	729	235	489	641	377	846	11281.74
hsa-miR-654-5p	177	507	173	579	106	491	831	289	192	289	550	517	880	387	351	899	84	234	610	445	438	666	420	579	295	272	11261.0
hsa-miR-574-3p	188	410	220	400	195	279	572	786	206	292	146	854	283	177	184	1011	172	478	393	552	631	272	654	703	734	287	11079.0
hsa-miR-27a-5p	337	541	87	292	140	606	305	856	184	339	173	748	322	207	211	490	61	219	110	470	649	552	969	985	483	725	11061.0
hsa-miR-505-5p	738	326	205	348	262	299	472	262	404	474	306	500	352	420	411	365	193	481	345	395	634	621	835	677	498	171	10994.0
hsa-miR-628-3p	373	582	408	456	175	291	313	394	392	436	196	478	518	212	273	538	272	481	445	405	175	759	960	782	450	199	10963.0
hsa-miR-185-3p	610	269	124	273	206	429	738	321	281	617	266	358	546	453	450	443	156	427	221	384	259	461	637	662	634	471	10696.0
hsa-miR-660-5p	987	115	34	225	452	374	1121	262	61	436	285	296	272	995	437	558	147	253	80	202	211	195	319	1075	741	494	10627.0
hsa-miR-361-5p	332	273	152	315	179	368	678	350	101	304	197	602	407	283	402	457	100	354	149	485	345	494	892	925	829	548	10521.0
hsa-miR-3158-3p	1344	91	90	431	282	223	569	551	404	297	380	125	293	290	291	355	109	729	132	310	415	456	743	537	400	453	10300.0
hsa-miR-4326	0	570	140	437	151	500	573	607	0	242	0	267	430	551	175	825	268	712	154	0	586	565	438	330	599	222	9342.0
hsa-miR-1273h-3p	383	312	139	336	127	312	514	339	275	327	111	958	468	334	312	489	112	193	175	328	215	272	523	421	411	712	9098.0
hsa-miR-3605-3p	494	294	228	566	352	192	298	412	559	241	379	139	280	515	221	184	162	750	310	190	660	339	441	243	134	503	9086.0
hsa-miR-450a-5p	275	449	183	448	146	396	452	353	166	257	161	308	351	209	130	362	18	353	96	387	449	309	679	1063	599	376	8975.0
hsa-miR-28-5p	190	504	214	490	97	240	335	82	231	299	101	351	417	399	268	234	120	461	435	640	251	578	746	517	437	316	8953.0
hsa-miR-589-5p	367	373	125	280	73	170	491	450	343	181	211	359	265	230	227	458	67	344	183	648	378	507	573	655	464	427	8849.0
hsa-miR-148a-5p	321	690	143	423	83	204	507	514	241	201	91	441	281	154	235	577	71	350	124	362	241	312	579	851	512	316	8824.0
hsa-miR-106b-5p	1133	151	78	284	391	305	644	225	276	321	191	145	358	410	332	287	140	310	122	237	108	343	416	525	509	437	8677.5
hsa-miR-20b-5p	1318	43	61	227	403	412	657	130	253	498	184	155	167	495	273	240	196	323	93	189	365	99	240	609	462	550	8642.0
hsa-miR-142-3p	158	564	264	347	164	191	313	231	383	255	88	321	218	198	290	187	148	527	364	441	377	547	777	513	291	483	8640.0
hsa-miR-107	719	64	77	186	398	209	493	124	104	238	298	171	265	362	512	190	88	372	107	498	412	281	475	799	562	571	8577.48
hsa-miR-1908-5p	256	207	191	477	237	111	421	168	358	303	443	375	348	537	310	209	142	416	253	225	308	558	375	403	320	511	8462.0
hsa-miR-1-3p	235	209	188	187	669	138	583	107	621	377	147	225	179	394	100	287	246	722	563	172	414	130	122	151	590	294	8049.66
hsa-miR-150-3p	611	286	79	220	160	244	238	536	164	171	160	452	275	1226	125	379	42	288	93	155	142	227	461	422	209	606	7971.0
hsa-miR-215-5p	407	360	109	207	503	171	785	326	148	306	85	96	231	881	152	85	55	534	239	223	46	350	453	399	484	253	7884.5
hsa-miR-374b-5p	276	244	144	310	137	349	455	159	219	203	24	335	386	150	203	380	130	242	204	488	212	595	592	557	592	156	7740.0
hsa-miR-25-5p	466	133	71	263	209	262	445	226	173	300	371	329	295	439	286	317	118	423	138	199	246	181	475	563	331	429	7688.0
hsa-miR-335-5p	359	401	158	251	228	214	358	102	154	287	142	303	183	310	273	292	135	316	233	499	575	246	265	564	315	478	7641.0
hsa-miR-1294	693	104	78	188	200	253	512	157	193	220	687	90	207	419	171	137	101	455	93	289	372	189	368	565	295	426	7462.0
hsa-miR-22-5p	478	234	123	237	191	171	617	456	145	210	114	309	115	298	195	138	61	445	114	398	295	195	551	467	375	399	7331.0
hsa-miR-203a-3p	179	89	92	208	376	151	110	97	223	134	573	178	163	3081	68	69	150	144	40	76	202	188	201	75	52	309	7228.0
hsa-miR-1304-3p	207	290	64	272	118	163	498	209	154	260	108	472	140	135	167	457	121	342	334	404	247	315	436	611	269	391	7184.0
hsa-miR-495-3p	56	507	138	403	34	219	566	122	50	145	72	228	279	250	138	323	36	222	507	588	513	335	253	376	266	204	6830.0
hsa-miR-345-5p	381	184	22	183	137	196	436	362	58	204	82	334	210	283	185	292	31	191	93	283	171	172	603	873	401	247	6614.0
hsa-miR-493-3p	87	553	198	556	32	257	356	284	127	224	113	252	481	113	153	395	46	241	319	138	314	496	269	231	129	205	6569.0
hsa-miR-550a-5p	419	85	62	170	153	161	351	236	267	302	231	222	235	436	100	248	55	226	45	188	458	77	236	555	216	715	6449.26
hsa-miR-576-5p	444	293	167	492	113	234	294	441	187	160	97	180	238	80	136	249	67	303	91	195	129	256	660	427	379	99	6411.0
hsa-miR-7704	470	126	85	137	376	107	409	313	90	296	295	211	499	692	137	286	89	172	30	94	54	60	224	218	385	458	6313.0
hsa-miR-7706	305	217	149	323	134	129	267	779	303	152	299	74	110	258	107	172	61	510	143	265	271	391	377	223	199	75	6293.0
hsa-miR-200c-3p	216	244	150	238	214	186	205	157	266	181	216	292	255	217	174	219	107	339	178	232	158	324	561	458	292	171	6249.5
hsa-miR-6852-5p	214	121	55	185	149	217	400	153	91	281	64	499	502	227	228	338	139	223	150	243	73	238	268	528	441	170	6197.0
hsa-miR-450b-5p	237	251	114	126	140	402	372	170	100	132	158	344	129	94	143	251	23	236	35	237	446	110	358	708	339	496	6151.0
hsa-miR-503-5p	471	101	70	217	293	122	537	98	118	97	203	271	199	186	107	285	11	341	52	259	256	130	295	381	416	601	6117.0
hsa-miR-339-3p	296	92	67	207	121	195	605	158	125	138	212	269	192	307	197	216	54	207	70	270	215	215	298	608	261	434	6029.0
hsa-miR-421	405	253	90	176	220	190	361	110	102	206	153	196	271	304	151	320	120	221	79	239	226	153	445	487	332	100	5910.0
hsa-miR-15b-5p	358	151	66	292	116	176	305	144	92	158	163	112	155	155	248	163	48	248	92	452	266	328	413	446	373	265	5785.0
hsa-miR-374a-5p	74	299	224	365	72	104	115	153	406	108	18	160	155	48	48	74	34	350	330	285	283	702	862	118	145	150	5680.0
hsa-miR-3614-5p	85	354	32	201	2	227	211	685	141	62	151	495	90	60	74	332	17	122	30	413	208	129	585	524	133	271	5634.0
hsa-miR-760	265	182	98	181	179	119	494	192	108	140	196	598	242	244	326	194	64	148	115	220	115	166	289	294	225	232	5626.0
hsa-miR-1304-5p	533	108	72	238	172	138	381	110	165	146	216	149	168	228	172	185	66	365	124	192	273	193	391	283	269	255	5592.0
hsa-miR-181d-5p	149	269	168	283	156	154	268	145	128	171	91	278	180	184	188	152	74	186	186	298	107	237	350	500	344	313	5559.0
hsa-miR-18a-3p	398	157	113	364	84	146	210	291	244	242	97	103	148	221	81	312	64	383	126	225	167	205	460	241	231	174	5486.5
hsa-miR-200a-3p	193	203	33	140	313	111	890	1040	107	97	49	56	107	310	118	38	32	222	20	87	228	98	224	206	215	259	5396.0
hsa-miR-200b-3p	177	307	91	327	164	183	280	578	275	117	39	212	252	93	223	130	46	209	163	195	144	203	237	336	266	148	5394.5
hsa-miR-511-5p	179	253	112	148	81	184	340	428	380	105	26	257	118	175	59	81	51	668	50	115	239	295	204	251	248	326	5373.0
hsa-miR-582-3p	126	277	94	281	46	144	309	457	225	68	73	116	64	100	54	176	25	282	36	214	749	175	511	443	146	106	5297.0
hsa-miR-1260a	209	115	139	240	157	109	199	203	197	219	254	165	357	392	204	250	134	99	203	203	58	241	341	163	180	238	5262.5
hsa-miR-885-5p	156	48	121	111	381	89	290	676	167	117	0	399	129	508	21	137	237	341	29	36	26	18	187	71	184	772	5251.0
hsa-miR-1246	69	176	139	138	84	111	171	278	237	83	90	165	127	203	37	116	22	542	29	287	565	93	205	627	230	354	5178.0
hsa-miR-26b-3p	263	198	58	141	141	217	239	201	45	210	160	255	217	92	164	357	69	118	86	149	178	156	282	602	305	201	5104.0
hsa-miR-10527-5p	490	124	55	93	164	206	283	70	39	218	202	145	210	188	173	190	80	339	80	135	124	94	192	493	281	435	5103.0
hsa-miR-3613-5p	265	110	134	290	128	98	116	67	207	132	141	57	204	259	146	76	65	505	125	228	407	274	394	276	224	160	5088.0
hsa-miR-505-3p	63	375	64	151	52	186	292	220	50	189	67	431	291	91	174	302	94	55	87	224	134	209	362	440	331	136	5070.0
hsa-miR-454-5p	293	152	95	196	54	204	341	220	155	257	71	118	201	149	197	230	101	212	115	148	119	187	297	355	256	236	4959.0
hsa-miR-6842-3p	242	197	92	267	32	161	262	252	156	128	102	244	214	112	113	226	57	117	135	267	91	276	331	380	214	112	4780.0
hsa-miR-500a-3p	489	48	32	62	207	204	286	67	73	173	208	205	176	144	178	197	47	164	48	129	229	60	210	386	336	277	4627.84
hsa-miR-766-5p	187	275	82	255	113	101	107	73	209	219	69	279	207	126	131	171	123	140	211	214	67	250	361	243	232	124	4569.0
hsa-miR-199b-5p	95	327	94	161	37	303	145	105	138	102	126	130	358	20	144	241	31	53	70	108	48	194	481	535	352	133	4530.01
hsa-miR-326	73	134	79	151	75	111	233	150	138	180	88	299	203	131	177	221	66	58	134	289	59	233	334	425	267	137	4445.0
hsa-miR-24-2-5p	150	189	74	195	123	128	337	311	78	99	102	171	212	198	74	166	52	146	120	188	135	236	293	300	111	258	4444.5
hsa-miR-889-3p	56	266	119	284	42	119	388	67	34	155	149	126	257	198	146	260	25	72	292	182	255	196	126	188	142	238	4382.0
hsa-miR-99b-3p	74	204	92	262	80	138	276	183	121	120	96	220	309	234	153	226	47	107	39	140	44	299	207	226	167	268	4332.0
hsa-miR-329-3p	45	302	132	409	10	118	349	106	14	87	54	181	213	112	107	355	36	72	179	189	124	306	296	174	189	49	4208.0
hsa-miR-1228-5p	73	41	40	188	562	162	323	176	197	17	177	94	22	530	59	27	53	253	42	23	259	89	138	66	17	563	4191.0
hsa-miR-4443	98	144	102	233	50	29	260	272	101	73	197	123	30	139	33	39	10	298	82	303	493	153	333	127	94	357	4173.0
hsa-miR-95-3p	209	98	34	67	133	165	343	179	179	133	116	68	73	358	45	99	36	295	41	50	203	112	151	171	219	581	4158.0
hsa-let-7f-1-3p	128	184	82	197	32	108	233	146	105	81	48	230	122	250	69	260	17	238	74	195	192	196	315	311	150	146	4107.5
hsa-miR-502-3p	468	46	11	48	129	149	239	57	49	206	128	185	103	220	182	174	48	126	21	103	238	45	115	288	234	396	4000.34
hsa-miR-30b-5p	132	264	81	230	35	159	142	226	48	123	5	178	163	49	83	160	27	151	66	314	29	278	337	348	285	69	3982.0
hsa-miR-1284	209	106	73	171	143	105	152	145	112	164	116	139	101	129	120	250	54	164	72	118	213	84	239	280	126	394	3979.0
hsa-miR-130a-3p	310	193	44	163	111	90	172	63	68	84	242	84	115	202	157	73	50	201	111	131	81	99	195	362	250	326	3977.0
hsa-miR-3173-5p	214	114	94	257	199	106	112	111	192	160	203	74	98	513	39	77	77	332	90	50	177	111	139	95	39	293	3966.0
hsa-miR-1468-5p	172	122	126	190	137	68	190	396	95	103	80	89	143	197	89	73	39	304	174	156	168	118	206	249	123	156	3963.0
hsa-miR-32-5p	177	192	46	241	105	96	153	94	229	49	72	114	84	182	100	48	25	287	98	146	310	123	283	237	112	259	3862.0
hsa-miR-7976	406	63	26	156	98	106	313	96	30	140	145	77	132	141	92	144	46	151	47	93	201	95	224	306	190	303	3821.0
hsa-miR-15a-5p	257	27	36	134	107	116	266	52	60	67	169	38	127	143	154	84	40	147	21	191	212	167	269	342	236	288	3750.0
hsa-miR-483-3p	189	47	123	70	230	74	102	338	389	71	67	110	62	419	44	64	137	514	100	48	81	65	72	21	49	262	3748.0
hsa-miR-125a-3p	82	144	55	114	58	69	186	169	137	111	120	240	145	93	58	332	20	94	61	241	145	66	267	318	140	274	3739.0
hsa-miR-548o-3p	174	212	83	213	36	145	229	103	125	69	86	160	104	79	98	162	35	209	81	153	223	165	163	246	118	213	3685.0200000000004
hsa-miR-181a-3p	224	84	47	76	34	89	264	109	100	94	133	155	119	147	108	166	48	92	72	254	130	71	209	252	387	192	3656.0
hsa-miR-92b-5p	209	66	51	165	155	102	231	63	138	111	232	133	150	213	119	125	42	230	39	64	260	135	207	81	70	241	3632.0
hsa-miR-23b-5p	190	188	98	127	66	105	204	177	237	97	109	170	126	77	57	155	58	254	93	124	114	188	274	187	94	48	3617.0
hsa-miR-193b-5p	86	16	82	70	66	29	334	679	117	83	28	309	59	359	18	47	35	267	22	52	135	87	91	113	107	307	3598.0
hsa-miR-133a-3p	13	144	63	103	98	69	312	101	10	222	14	223	56	64	49	246	84	153	119	183	116	76	259	221	546	27	3571.34
hsa-miR-191-3p	77	175	50	114	63	82	273	141	78	123	75	228	124	71	108	153	46	166	100	190	139	147	309	255	210	59	3556.0
hsa-miR-411-5p	45	168	76	253	21	130	195	65	40	103	82	180	255	85	78	116	16	140	178	150	181	235	129	186	83	188	3378.0
hsa-miR-210-3p	294	135	44	104	92	177	322	118	4	163	86	139	125	224	94	149	35	188	37	64	113	104	161	173	178	42	3365.0
hsa-miR-190b-5p	170	78	44	88	79	191	173	69	111	127	226	190	122	50	96	131	58	117	20	63	51	110	317	400	225	9	3315.0
hsa-miR-11401	3	182	45	128	10	103	256	7	37	2	143	91	120	0	191	118	39	6	118	373	219	201	252	3	250	291	3188.0
hsa-miR-3605-5p	174	105	68	106	31	60	195	141	45	40	104	104	94	122	45	120	34	111	54	157	236	87	270	284	129	256	3172.0
hsa-miR-378c	301	27	17	34	141	77	224	111	27	133	139	138	87	262	109	89	31	152	24	90	107	59	80	219	193	273	3139.3999999999996
hsa-miR-548j-5p	55	161	93	234	52	113	54	23	185	89	31	167	170	94	65	49	41	94	213	156	220	202	291	138	106	0	3095.0
hsa-miR-151b	13	81	98	147	11	13	57	32	90	16	12	20	30	17	13	23	4	271	149	576	247	380	727	32	19	21	3090.0
hsa-miR-877-5p	48	128	74	106	79	46	151	112	40	126	80	264	68	205	115	125	35	121	110	122	143	90	187	147	74	119	2915.0
hsa-miR-1307-5p	105	61	9	79	72	76	229	87	11	95	77	140	90	160	115	64	33	133	16	117	122	74	165	295	197	288	2910.0
hsa-miR-3177-3p	109	61	47	87	52	69	295	113	60	150	24	263	230	111	81	172	31	56	63	82	50	106	86	228	193	81	2900.0
hsa-miR-324-3p	318	34	21	54	68	96	198	60	45	115	72	67	151	84	114	120	26	39	19	67	18	113	141	440	324	92	2896.0
hsa-miR-204-5p	139	113	78	59	73	88	21	248	224	125	81	103	63	54	47	189	116	151	72	72	67	237	202	51	38	183	2894.0
hsa-miR-196b-5p	96	132	39	198	130	72	99	64	214	111	53	64	133	62	83	63	20	124	91	143	196	251	134	208	62	27	2869.66
hsa-miR-494-3p	33	205	52	156	33	83	99	46	26	117	49	183	263	24	113	203	20	47	98	112	66	207	95	227	104	82	2743.0
hsa-miR-136-3p	3	95	23	33	96	109	157	34	0	123	173	111	115	447	114	113	40	12	66	38	51	86	2	192	100	397	2730.0
hsa-miR-411-3p	39	114	64	220	51	67	98	80	56	99	72	109	149	81	72	145	26	96	184	127	191	182	95	123	47	126	2713.0
hsa-miR-10399-3p	154	112	36	357	34	75	104	130	59	93	50	140	126	19	75	81	46	96	63	107	62	138	121	215	68	134	2695.0
hsa-miR-29b-3p	259	33	41	101	80	124	172	106	77	79	21	47	153	85	52	52	23	152	48	180	141	122	152	142	138	71	2650.66
hsa-miR-6852-3p	62	156	88	180	41	30	73	40	85	72	6	167	146	83	50	165	38	217	156	136	60	172	136	149	79	51	2638.0
hsa-miR-106a-5p	367	34	11	78	195	147	176	50	43	211	49	111	91	73	71	107	76	122	33	31	37	16	89	177	164	78	2630.0200000000004
hsa-miR-3909	71	164	40	88	30	90	82	268	25	84	49	132	113	7	56	130	8	105	19	122	141	96	327	174	113	63	2597.0
hsa-miR-3138	27	77	39	109	48	32	190	62	101	65	146	266	57	79	76	88	8	74	67	133	132	112	173	224	100	92	2577.0
hsa-miR-548e-3p	122	66	30	47	51	68	236	55	29	56	88	114	150	184	71	88	31	36	50	57	87	65	126	286	119	190	2502.0
hsa-miR-5010-3p	131	98	61	212	24	74	33	78	109	69	62	62	106	41	53	246	79	114	120	99	89	155	152	56	60	104	2487.0
hsa-miR-642a-3p	97	65	26	11	62	114	161	160	202	43	90	87	37	150	34	82	25	247	39	53	52	97	193	182	52	24	2383.5
hsa-miR-542-3p	52	85	34	39	52	120	224	41	34	64	72	105	105	39	57	162	5	44	16	51	100	53	140	378	124	178	2374.0
hsa-miR-1292-5p	146	82	53	72	40	74	152	63	90	58	58	151	52	126	74	101	30	193	44	89	136	106	127	82	80	73	2352.0
hsa-miR-21-3p	113	47	24	32	136	57	315	56	41	81	58	176	45	153	151	18	15	23	4	61	24	26	31	135	112	417	2351.0
hsa-miR-664a-3p	83	129	80	161	19	111	35	67	125	56	15	74	132	30	72	65	37	100	77	49	60	193	299	123	112	17	2321.0
hsa-miR-939-5p	74	102	60	102	103	107	171	56	161	32	96	61	49	109	89	111	42	69	28	68	97	93	129	96	44	56	2205.0
hsa-miR-3120-3p	80	76	25	48	62	34	137	31	62	62	31	230	87	50	70	64	18	108	42	141	113	155	96	137	113	76	2148.0
hsa-miR-374a-3p	167	62	44	110	80	63	91	6	92	79	12	95	94	113	95	66	46	107	64	51	101	128	98	124	76	22	2086.0
hsa-miR-651-5p	152	56	27	85	86	54	124	72	37	76	91	76	52	109	68	30	22	75	34	69	86	44	73	202	86	128	2014.0
hsa-miR-550a-3-5p	197	24	12	40	37	52	86	46	99	86	64	71	49	212	16	56	17	78	33	42	128	37	76	190	80	185	2013.13
hsa-miR-6721-5p	19	66	78	138	17	39	77	23	44	103	29	142	67	50	69	74	56	80	147	115	94	102	134	122	51	22	1958.0
hsa-miR-93-3p	28	65	66	47	22	48	64	163	52	94	43	45	89	8	41	155	38	100	63	75	85	87	110	110	153	96	1947.0
hsa-miR-4746-5p	96	36	32	66	59	60	131	100	29	23	84	69	106	72	68	72	17	96	32	84	90	100	71	139	69	144	1945.0
hsa-miR-766-3p	61	35	35	78	10	87	95	23	54	80	55	128	145	102	93	144	63	32	68	55	30	133	83	94	114	34	1931.0
hsa-miR-382-3p	5	125	16	62	7	54	189	50	0	47	16	72	39	48	41	262	2	34	104	186	51	86	112	150	84	77	1919.0
hsa-miR-337-3p	17	184	62	247	11	13	57	75	34	21	29	51	62	76	25	88	5	85	95	92	114	153	148	62	48	20	1874.0
hsa-miR-130b-3p	126	54	18	51	68	31	106	62	37	34	44	53	26	71	60	34	26	130	41	79	70	66	176	127	72	209	1871.0
hsa-miR-378i	131	47	15	43	48	63	124	122	45	62	61	56	42	71	45	99	25	97	15	46	93	55	72	119	77	164	1837.0
hsa-miR-145-5p	33	95	75	80	0	87	115	107	53	73	0	48	38	54	58	76	12	52	33	210	23	103	159	127	87	25	1823.0
hsa-miR-18a-5p	221	55	4	75	28	59	129	81	20	101	33	76	89	11	58	79	50	30	30	68	15	113	77	111	102	80	1792.0
hsa-miR-331-3p	56	73	20	78	13	50	76	97	57	107	30	50	72	0	62	83	38	51	58	57	21	148	78	129	93	168	1765.0
hsa-miR-146b-3p	100	34	39	82	70	35	149	99	21	28	11	85	73	59	51	86	25	105	26	58	37	62	91	149	97	87	1759.0
hsa-miR-2355-3p	33	113	23	44	12	70	68	53	63	56	35	132	75	45	44	55	14	17	23	89	109	70	132	173	75	133	1756.0
hsa-miR-1306-5p	170	43	6	44	69	49	62	62	116	123	145	41	86	37	41	80	59	42	25	40	32	85	63	22	60	111	1713.0
hsa-miR-3690	95	14	18	33	9	31	71	143	81	11	18	86	23	12	6	265	4	70	8	44	33	33	60	418	20	105	1711.0
hsa-miR-129-5p	86	9	35	62	41	55	85	97	63	23	7	49	34	128	27	40	13	114	18	24	145	116	182	121	47	44	1665.0
hsa-miR-369-5p	23	97	51	154	0	87	105	11	31	28	33	75	97	30	23	94	16	34	101	115	91	88	111	83	35	33	1646.0
hsa-miR-618	32	161	73	64	2	92	89	94	23	37	38	94	88	20	11	124	11	10	12	39	28	97	111	112	80	61	1603.0
hsa-miR-132-3p	63	59	40	96	0	49	144	48	0	33	7	42	40	14	49	89	23	117	22	87	57	131	131	151	79	31	1602.0
hsa-miR-499a-5p	44	28	36	58	173	27	126	60	108	44	82	36	43	166	33	25	5	36	26	36	20	55	90	148	81	10	1596.0
hsa-miR-5010-5p	110	39	18	57	54	18	98	19	15	84	54	97	42	106	35	52	39	62	18	33	146	41	74	130	66	85	1592.0
hsa-miR-2115-3p	45	70	6	70	17	51	65	99	25	18	61	82	67	0	20	92	2	10	6	85	74	39	239	201	56	88	1588.0
hsa-miR-125b-2-3p	87	28	24	36	33	13	173	131	75	48	20	72	43	75	40	26	17	129	12	32	7	55	65	89	110	85	1525.0
hsa-miR-148b-5p	105	15	19	32	32	112	81	7	38	49	7	64	138	27	26	49	39	107	33	41	38	64	97	54	131	115	1520.0
hsa-miR-1306-3p	114	27	15	37	28	32	82	46	45	36	80	72	58	50	34	47	21	114	19	42	55	71	108	135	48	81	1497.0
hsa-miR-1287-5p	89	54	26	19	33	35	146	45	24	59	25	78	53	61	76	22	5	14	22	75	23	72	82	115	45	186	1484.0
hsa-miR-598-3p	94	19	25	16	54	44	118	34	35	77	40	48	44	72	67	73	28	101	18	89	28	39	27	104	125	59	1478.0
hsa-miR-454-3p	43	84	37	100	23	75	28	52	70	51	0	53	84	0	23	52	39	46	45	38	54	142	59	69	137	0	1404.0
hsa-miR-96-5p	62	10	9	17	114	95	50	11	33	10	96	26	17	40	10	12	21	16	0	11	129	30	31	96	71	383	1400.0
hsa-miR-5189-5p	135	14	4	62	31	7	97	7	62	35	15	99	51	69	41	85	19	111	22	55	48	46	25	86	105	60	1391.0
hsa-miR-378g	124	26	8	24	26	35	127	44	18	47	48	60	36	60	49	57	14	45	6	30	46	40	71	100	79	145	1365.0
hsa-miR-3913-5p	130	46	28	57	43	16	143	20	68	21	19	5	41	55	37	18	12	82	14	73	31	67	90	126	43	56	1341.0
hsa-miR-410-3p	29	40	15	62	6	54	43	19	0	55	24	33	46	98	38	85	3	57	53	158	61	97	59	72	28	81	1316.0
hsa-miR-320e	117	32	2	20	55	34	99	35	35	34	35	54	43	80	60	49	14	51	24	44	58	13	45	97	77	107	1315.48
hsa-miR-29c-3p	98	3	24	36	89	30	190	13	14	46	86	23	19	67	65	31	20	48	4	29	21	72	63	61	74	86	1312.33
hsa-miR-378a-5p	84	15	15	31	38	74	99	46	0	45	39	15	78	26	37	52	35	17	14	29	40	29	73	106	108	148	1293.0
hsa-miR-5193	29	71	57	162	21	37	51	9	39	33	0	42	37	36	46	50	45	119	129	73	16	103	47	7	13	0	1272.0
hsa-miR-363-5p	162	7	10	63	31	67	142	58	50	39	46	17	31	81	52	30	32	110	8	36	31	43	42	36	40	0	1264.0
hsa-miR-4755-5p	129	39	16	76	52	36	43	68	0	33	27	23	56	11	32	50	10	84	12	54	97	39	97	59	50	69	1262.0
hsa-miR-409-5p	4	38	10	28	23	63	46	12	16	50	79	83	70	36	35	110	22	42	54	89	54	21	52	102	58	65	1262.0
hsa-miR-143-5p	95	43	15	24	45	45	119	18	56	60	0	44	52	4	59	17	6	37	6	61	3	32	126	89	48	119	1223.0
hsa-miR-504-5p	14	31	39	259	0	25	39	28	60	21	20	48	93	25	4	41	11	14	8	16	0	90	157	58	87	26	1214.0
hsa-miR-3168	36	30	30	24	105	7	21	176	133	16	118	12	19	62	20	4	7	62	12	23	65	17	15	15	7	170	1206.0
hsa-miR-874-3p	49	57	38	19	29	37	57	61	26	45	41	40	60	4	48	31	17	43	37	64	23	35	144	94	39	60	1198.0
hsa-miR-937-3p	79	23	30	74	55	9	48	37	66	49	76	9	38	102	18	13	13	114	17	33	49	49	91	24	19	60	1195.0
hsa-miR-6741-3p	43	25	23	101	37	27	26	43	108	40	20	33	35	63	48	6	15	92	68	33	53	89	69	17	26	0	1140.0
hsa-miR-195-3p	56	49	11	6	40	17	104	55	79	21	34	31	25	46	41	31	17	143	4	45	0	114	50	53	35	31	1138.0
hsa-miR-487a-5p	28	67	13	79	18	22	49	27	0	37	39	26	115	34	25	166	37	13	56	57	24	47	37	69	19	16	1120.0
hsa-miR-532-3p	86	13	25	35	13	47	55	54	17	27	56	22	40	0	27	66	17	25	10	46	15	61	149	80	63	67	1116.0
hsa-miR-4665-5p	0	35	36	67	26	26	37	22	64	50	24	88	65	17	52	42	33	34	58	45	33	63	76	56	27	37	1113.0
hsa-miR-6741-5p	69	25	15	73	21	35	63	21	24	29	24	93	52	64	48	32	10	56	30	37	37	52	70	50	55	27	1112.0
hsa-miR-4685-3p	56	14	8	58	68	19	83	43	26	51	149	10	37	44	23	28	27	58	12	34	60	39	54	41	26	38	1106.0
hsa-miR-10b-3p	29	31	17	39	46	17	158	56	36	28	14	23	6	147	9	31	3	93	7	36	43	27	100	44	21	36	1097.0
hsa-miR-452-5p	42	73	4	25	20	35	23	19	31	21	94	35	13	40	81	30	25	76	8	30	117	19	40	137	24	14	1076.0
hsa-miR-1255a	0	127	37	46	0	34	92	0	0	20	32	15	15	57	21	56	12	63	89	37	0	44	75	77	38	67	1054.0
hsa-miR-10399-5p	70	5	9	74	7	37	80	18	27	25	9	64	18	79	57	68	15	54	14	45	91	39	55	50	40	0	1050.0
