name	SRX2359277	SRX2359276	SRX2359239	SRX2359238	SRX2359259	SRX2359258	SRX2359271	SRX2359270	SRX2359255	SRX2359254	SRX2359257	SRX2359256	SRX2359237	SRX2359236	SRX2359235	SRX2359252	SRX2359274	SRX2359273	SRX2359272	SRX2359266	SRX2359267	SRX2359268	SRX2359269	SRX2359279	SRX2359260	SRX2359261	SRX2359262	SRX2359263	SRX2359264	SRX2359265	SRX2359248	SRX2359249	SRX2359246	SRX2359247	SRX2359244	SRX2359245	SRX2359242	SRX2359243	SRX2359240	SRX2359241	SRX2359253	SRX2359275	SRX2359278	SRX2359251	SRX2359282	SRX2359280	SRX2359281	SRX2359250
hsa-miR-203a-3p	55	45	76	25	85	28	237	49	11	17	12	40	75	33	22	138	56	6	45	58	100	49	78	85	18	58	26	47	22	30	50	9	16	130	57	246	77	78	33	96	15	118	46	29	34	157	574	62	3453.0
hsa-miR-1468-5p	85	29	46	47	4	15	18	11	17	11	13	6	300	486	77	4	27	50	20	30	13	15	11	99	31	23	28	29	37	4	41	20	8	2	44	150	270	22	108	442	11	12	104	14	81	453	70	11	3449.0
hsa-miR-132-3p	35	45	72	74	5	22	16	8	16	19	10	5	436	576	42	13	14	64	16	69	33	54	15	58	42	13	12	38	54	12	40	32	12	13	64	192	323	53	102	382	16	13	74	41	32	89	60	4	3430.0
hsa-miR-122-3p	34	39	0	4	0	0	0	0	0	0	0	0	2	2	0	2	0	2	0	0	3	0	0	41	0	0	0	6	0	0	2	2	2	0	2	0	0	0	4	0	3	0	137	0	269	2707	2	5	3270.0
hsa-miR-204-5p	38	22	39	24	5	37	17	21	14	40	9	14	77	132	43	21	13	56	17	12	17	54	7	42	20	7	31	92	61	3	48	41	0	2	16	40	48	29	108	78	77	16	60	30	80	1533	36	17	3244.0
hsa-miR-20b-5p	3	39	23	28	0	10	12	0	12	12	6	6	191	1221	44	3	21	33	31	11	8	28	6	8	22	2	3	8	27	12	29	16	0	0	15	22	670	8	278	178	28	11	16	19	24	27	22	5	3197.67
hsa-miR-125b-2-3p	92	28	65	19	4	10	4	0	7	14	12	8	50	47	27	6	10	10	7	16	21	33	9	68	63	11	7	51	17	6	95	100	7	34	20	168	82	14	25	74	20	6	62	15	150	1218	15	337	3164.0
hsa-miR-433-3p	11	4	37	65	0	0	5	0	14	5	0	0	1077	629	59	0	6	7	7	3	4	58	2	24	13	0	16	3	13	6	6	19	0	2	64	22	97	12	52	694	7	7	21	15	2	15	32	0	3135.0
hsa-miR-17-3p	23	22	36	50	0	6	15	2	14	10	10	10	359	718	48	11	30	40	27	14	8	27	2	31	12	5	2	7	30	2	65	12	14	7	23	52	539	9	201	416	25	10	13	19	24	68	23	10	3101.0
hsa-miR-25-5p	24	17	72	58	2	0	13	0	9	6	2	10	427	831	38	2	10	27	28	51	15	19	5	34	25	10	10	19	32	6	37	13	4	2	42	82	339	15	223	338	10	2	40	22	19	58	35	5	3088.0
hsa-miR-324-5p	20	23	63	19	15	4	22	11	7	8	4	0	267	773	40	8	19	55	17	41	4	12	2	60	9	8	5	15	57	0	47	15	16	4	27	93	588	24	132	290	8	22	64	14	5	101	42	7	3087.0
hsa-miR-4508	29	33	19	11	5	10	83	2	21	15	26	2	41	178	7	17	35	31	17	64	20	12	6	41	422	49	36	5	151	18	59	8	64	35	52	61	829	5	34	44	34	24	20	50	17	201	22	12	2976.5
hsa-miR-548k	12	13	56	104	0	9	9	2	13	13	8	4	414	606	60	7	3	39	11	61	11	25	11	28	6	4	20	7	18	7	28	28	3	0	31	56	215	13	153	719	26	11	31	5	11	17	23	4	2954.5
hsa-miR-493-5p	6	0	13	33	0	0	3	0	3	11	0	2	736	645	46	0	11	13	8	2	0	21	0	11	0	0	7	0	4	6	8	7	2	0	30	28	130	5	82	999	8	3	10	7	4	13	14	0	2931.0
hsa-miR-30d-3p	28	6	37	55	4	4	14	2	7	10	2	6	423	523	57	17	10	23	10	30	18	32	6	36	32	0	12	18	8	2	14	27	0	6	59	95	205	2	114	766	12	3	11	24	24	62	28	3	2887.0
hsa-miR-758-3p	4	0	43	51	0	0	0	0	6	0	0	2	644	1029	44	2	6	14	4	3	0	23	0	6	0	0	12	3	8	4	7	13	5	0	24	17	95	6	54	706	8	0	2	2	7	0	27	0	2881.0
hsa-miR-548e-3p	15	28	87	80	0	18	18	7	9	24	3	12	411	508	69	8	12	12	14	48	16	34	14	53	18	7	24	8	25	12	42	16	12	4	50	35	295	19	174	349	27	8	46	42	23	22	73	8	2839.0
hsa-miR-2355-5p	2	4	68	87	2	6	3	0	10	0	4	0	483	832	77	3	7	22	6	53	6	37	0	33	0	3	12	5	6	0	2	4	2	0	12	44	90	6	103	678	12	4	25	10	3	0	26	2	2794.0
hsa-miR-371b-5p	14	40	188	146	3	0	24	0	5	5	3	4	416	379	122	2	2	14	22	186	2	31	5	37	7	4	28	10	5	7	12	7	0	0	43	117	66	33	180	439	23	5	30	24	12	12	19	2	2735.0
hsa-miR-494-3p	4	0	8	102	0	2	2	0	4	0	0	0	602	921	54	11	4	16	12	2	0	6	0	9	3	0	5	7	0	4	10	0	0	0	18	37	75	8	71	640	4	8	19	9	4	4	26	0	2711.0
hsa-miR-378c	35	20	79	44	8	6	7	6	4	16	9	11	121	273	45	10	16	18	18	60	11	35	7	42	13	19	8	41	60	4	99	70	41	13	27	127	402	26	183	163	8	10	55	8	18	261	27	24	2597.4
hsa-miR-145-3p	26	29	120	52	4	20	26	7	7	9	6	14	306	278	84	9	6	17	12	145	12	70	21	64	36	4	28	31	36	15	15	14	9	19	23	343	145	34	141	189	38	6	41	14	22	2	40	4	2593.0
hsa-miR-323a-3p	8	0	16	71	0	4	2	0	0	2	0	0	609	698	39	0	10	16	8	10	3	22	6	37	9	0	19	12	8	0	5	11	4	4	49	37	151	17	67	478	4	10	31	10	2	26	25	0	2540.0
hsa-miR-196b-5p	4	4	13	31	0	7	8	3	4	10	2	0	722	504	32	7	5	13	6	10	0	9	2	17	12	2	7	10	5	9	7	6	0	0	20	20	133	0	122	639	7	3	9	7	12	9	26	0	2478.0
hsa-miR-369-5p	0	3	24	137	0	6	2	0	14	0	0	0	490	679	86	4	7	10	8	0	0	8	4	23	0	4	8	7	6	0	13	19	0	0	19	29	110	7	84	599	10	0	5	16	8	4	11	0	2464.0
hsa-miR-664a-3p	30	11	44	27	0	5	14	0	18	8	3	2	502	525	30	13	9	58	21	19	0	13	12	48	8	12	8	22	7	0	7	3	0	0	13	117	113	24	80	370	10	12	62	8	22	62	40	2	2414.0
hsa-miR-548o-3p	22	26	81	77	0	16	4	0	20	17	7	0	252	459	40	8	13	15	9	47	3	14	2	31	28	12	10	18	41	0	24	18	33	10	40	42	386	6	122	340	8	10	22	15	6	17	33	9	2413.6800000000003
hsa-miR-22-5p	29	21	98	53	0	5	10	2	3	7	7	4	221	566	35	4	9	21	11	9	21	12	0	14	35	6	15	21	50	3	75	59	20	23	23	48	286	13	147	194	2	5	26	12	21	28	28	32	2334.0
hsa-miR-145-5p	8	27	55	37	0	7	12	2	13	19	0	2	340	441	29	9	15	15	19	82	6	23	2	31	7	3	11	9	4	0	7	7	4	2	20	296	119	17	100	355	10	15	29	17	18	10	50	2	2306.0
hsa-miR-493-3p	5	4	29	30	0	5	0	0	12	7	0	0	425	639	33	3	0	2	5	0	0	28	0	15	0	0	4	8	3	0	6	3	0	0	39	26	93	2	60	677	14	0	10	5	5	10	15	0	2222.0
hsa-miR-338-5p	8	13	128	86	0	10	20	0	13	2	0	2	222	397	46	8	5	42	16	292	5	31	3	43	43	0	33	19	9	2	15	17	7	2	10	85	39	20	109	253	3	4	59	11	11	10	26	7	2186.0
hsa-miR-543	0	4	34	52	0	2	3	2	7	6	2	0	539	684	49	9	3	12	0	2	2	27	0	12	3	0	6	13	0	0	3	8	0	2	20	25	121	4	89	337	19	16	7	3	8	11	22	0	2168.0
hsa-miR-589-3p	18	7	43	55	2	9	6	3	4	9	4	2	348	451	39	0	6	20	19	26	2	21	3	18	7	5	15	7	24	0	9	10	13	9	28	54	175	18	149	390	2	6	23	11	5	41	37	0	2153.0
hsa-miR-30c-1-3p	6	5	21	31	0	8	2	2	6	5	4	0	425	511	22	2	9	7	10	19	2	18	5	21	0	2	2	10	0	7	8	6	0	0	9	30	59	0	106	593	9	0	5	4	10	75	12	0	2088.0
hsa-miR-331-5p	9	4	49	39	0	0	9	5	3	4	0	3	153	597	31	0	22	17	11	30	6	17	5	27	54	14	4	2	38	2	41	16	41	9	18	43	333	14	158	183	0	2	16	0	19	8	7	13	2076.0
hsa-miR-106a-5p	9	24	21	22	0	3	8	0	16	7	9	3	101	702	29	11	3	30	20	8	6	22	5	5	7	3	5	10	4	0	35	5	3	2	14	19	591	4	112	64	26	3	13	21	15	30	10	0	2053.33
hsa-miR-30a-3p	22	17	25	14	2	13	15	19	12	11	10	4	163	215	27	21	3	21	10	7	7	30	5	29	35	0	5	46	33	3	11	12	6	7	33	32	48	5	27	285	6	3	34	31	81	520	14	22	1998.0
hsa-miR-33b-5p	25	22	37	16	3	2	13	2	2	16	9	4	82	109	11	0	17	7	15	20	17	39	13	44	44	33	14	26	44	5	123	62	27	22	22	30	699	8	32	93	3	15	34	9	12	40	35	17	1974.0
hsa-miR-1296-5p	12	3	23	44	0	0	7	0	0	4	3	0	466	474	40	4	0	6	5	6	5	9	0	23	2	0	5	4	5	3	0	8	0	0	17	26	58	7	82	528	6	3	12	2	8	19	15	8	1952.0
hsa-miR-24-2-5p	9	14	32	53	0	10	5	3	8	3	6	8	379	491	33	3	9	22	3	13	9	18	3	9	2	2	0	7	7	4	12	10	0	0	16	32	59	11	98	488	13	0	6	7	2	2	25	0	1946.0
hsa-miR-582-3p	3	61	77	127	12	6	9	0	14	3	0	0	185	141	86	6	10	4	10	112	5	116	3	21	5	0	25	19	2	15	12	14	10	0	34	81	70	29	175	312	14	23	16	20	12	21	20	0	1940.0
hsa-miR-140-5p	9	8	46	51	0	2	0	0	12	7	0	2	453	400	24	9	2	16	8	18	0	26	3	19	0	2	7	8	3	3	14	0	0	0	6	38	109	17	115	305	12	4	7	5	0	4	15	0	1789.0
hsa-miR-3143	14	16	49	25	0	6	16	9	6	5	5	0	73	383	10	0	6	21	16	30	14	19	0	34	11	6	2	4	31	7	16	0	16	12	15	18	462	2	170	132	5	6	23	9	15	18	19	5	1761.0
hsa-miR-370-3p	4	2	19	47	0	5	0	0	0	2	0	0	434	488	24	0	2	7	2	0	0	10	0	4	2	0	7	0	0	0	0	2	2	0	6	5	55	2	32	534	2	6	0	2	2	8	13	0	1730.0
hsa-miR-550a-5p	10	20	43	29	0	0	11	0	4	4	0	2	143	530	27	6	6	12	19	23	5	7	6	8	11	0	0	4	20	0	8	8	0	2	8	25	395	5	132	120	16	4	7	9	7	28	3	0	1727.28
hsa-miR-629-5p	10	14	24	20	5	2	10	5	0	8	0	0	176	481	18	5	0	6	7	77	0	14	2	13	53	13	14	8	28	2	25	6	57	7	6	38	150	26	98	227	0	12	5	4	2	28	7	0	1713.0
hsa-miR-654-5p	2	2	6	32	0	5	0	0	7	0	4	0	447	397	32	0	2	0	9	0	0	9	0	0	0	0	6	0	2	0	0	6	0	0	16	12	42	8	48	561	3	6	2	0	5	8	17	0	1696.0
hsa-miR-6511a-3p	15	45	31	11	2	15	31	7	12	8	22	15	167	232	58	33	18	27	26	5	12	42	10	26	28	14	13	12	85	9	38	11	2	10	15	14	210	5	51	115	21	17	7	31	14	58	40	5	1694.7199999999998
hsa-miR-497-5p	37	21	34	27	0	23	4	0	11	27	19	9	165	108	19	15	7	17	5	2	37	29	9	9	12	12	2	25	29	14	54	43	0	40	28	254	95	17	45	234	20	12	13	13	26	14	16	30	1682.0
hsa-miR-627-5p	15	17	63	57	4	8	16	0	7	2	0	0	142	230	37	5	5	23	10	68	4	19	0	35	43	11	12	14	33	0	33	5	71	4	17	22	250	4	87	181	13	13	19	7	2	27	20	19	1674.0
hsa-miR-193b-3p	73	5	25	18	0	0	20	0	6	0	0	0	16	71	8	10	6	31	2	14	10	6	4	83	32	3	3	20	2	4	61	26	4	7	4	214	34	12	27	14	3	2	184	4	131	368	11	24	1602.0
hsa-miR-548e-5p	8	11	30	34	4	5	6	0	12	9	4	3	176	231	47	0	2	15	13	96	4	29	5	30	37	5	14	8	11	3	13	14	19	2	14	56	140	17	77	236	15	12	30	13	7	11	24	0	1552.0
hsa-miR-29b-3p	29	8	24	62	0	5	12	2	6	3	0	0	189	347	37	4	14	28	17	14	1	2	4	34	0	0	6	7	12	7	13	7	5	0	0	169	147	6	73	145	0	12	39	4	12	15	21	7	1551.38
hsa-miR-10399-3p	12	12	40	39	0	4	6	3	6	11	8	0	239	314	39	0	2	2	13	2	2	17	3	13	2	2	6	6	7	3	17	14	2	0	14	33	81	5	95	403	6	2	11	2	0	27	21	0	1546.0
hsa-miR-5189-5p	18	40	27	15	2	7	19	8	8	10	0	7	123	5	6	11	15	32	0	8	0	22	0	18	34	19	17	0	101	0	66	9	14	11	34	44	384	26	147	171	3	7	0	8	2	0	28	7	1533.0
hsa-miR-369-3p	14	0	15	76	3	0	0	2	8	0	0	2	433	266	44	3	0	6	15	6	0	20	4	10	4	0	3	12	5	0	12	21	0	4	27	17	102	6	34	266	5	2	9	9	2	12	23	0	1502.0
hsa-miR-2110	8	10	30	32	0	0	6	2	6	3	0	4	176	493	18	0	0	13	8	22	0	8	3	28	19	4	12	12	17	0	30	11	10	0	2	42	189	8	53	153	6	0	15	11	12	15	10	0	1501.0
hsa-miR-539-3p	0	7	21	51	2	6	0	0	8	5	0	0	356	320	34	0	7	4	5	2	2	17	0	2	3	0	3	4	0	2	7	4	0	0	30	10	99	3	42	380	9	5	4	7	7	0	5	4	1477.0
hsa-miR-483-5p	17	26	38	27	2	0	0	4	7	0	4	2	17	37	26	9	5	13	0	5	12	10	2	9	43	8	10	105	10	9	56	47	21	6	0	10	4	6	3	19	2	4	17	18	51	253	7	473	1454.0
hsa-miR-188-5p	6	16	39	28	3	2	9	0	0	8	5	5	57	212	19	11	0	11	7	13	5	17	8	5	62	24	7	20	47	7	69	11	44	8	25	17	340	4	80	72	9	4	8	14	7	44	22	14	1445.0
hsa-miR-4662a-5p	8	19	37	28	0	4	3	0	21	20	2	3	260	251	26	10	8	18	9	5	0	6	2	22	5	0	3	5	0	5	8	2	0	0	16	13	62	2	61	389	13	4	13	11	32	16	11	6	1439.0
hsa-miR-3161	10	0	0	65	0	7	5	0	28	11	0	8	0	1132	84	6	2	0	0	20	0	11	0	0	0	3	0	0	19	0	0	0	0	0	0	0	0	0	0	0	2	0	0	15	0	0	0	0	1428.0
hsa-miR-483-3p	76	70	0	5	0	13	18	18	11	8	4	44	2	8	0	20	16	20	5	0	93	28	7	42	5	43	2	49	7	9	51	30	0	8	6	17	5	9	2	0	10	5	49	60	141	355	12	26	1409.0
hsa-miR-3909	6	22	61	25	0	0	5	0	4	11	3	0	156	274	27	4	4	12	7	28	4	22	4	24	4	0	15	6	7	3	2	5	2	0	12	49	99	16	161	186	14	2	15	16	20	41	18	2	1398.0
hsa-miR-3120-3p	4	0	24	26	0	0	0	2	15	0	5	0	321	321	17	4	2	2	5	2	0	8	0	6	0	0	2	11	2	6	0	3	0	2	6	14	59	0	90	380	2	3	5	4	5	0	29	0	1387.0
hsa-miR-3605-5p	8	13	28	17	2	4	4	0	7	8	10	4	104	348	28	8	6	11	17	72	0	17	2	12	12	2	7	10	20	4	23	7	16	0	11	47	172	0	92	134	6	0	21	18	2	38	14	0	1386.0
hsa-miR-3176	2	4	38	2	2	2	4	2	2	0	2	0	81	265	14	3	5	13	11	26	0	5	2	24	11	9	6	6	69	0	28	6	21	2	17	19	344	10	128	140	9	2	8	0	0	14	10	5	1373.0
hsa-miR-27b-5p	0	7	18	36	0	0	2	0	6	4	4	2	208	349	18	2	3	9	4	0	3	4	2	15	0	0	0	3	4	0	2	5	0	0	5	2	26	2	81	340	0	0	11	3	20	138	21	2	1361.0
hsa-miR-10399-5p	18	12	34	39	0	4	5	2	11	6	4	0	230	157	24	0	5	8	9	28	2	23	7	21	7	0	7	8	12	2	6	11	5	7	28	17	130	7	90	272	5	5	20	2	12	15	29	3	1349.0
hsa-miR-7-1-3p	27	2	17	35	0	3	7	2	0	6	5	3	134	325	16	6	3	20	13	8	8	12	3	37	5	2	8	0	15	6	8	0	0	2	11	51	167	13	112	161	14	2	27	9	11	8	18	3	1345.0
hsa-miR-99b-3p	9	0	13	14	0	3	3	2	5	7	0	0	413	129	15	2	2	4	0	5	0	5	0	3	3	0	8	3	11	2	4	8	2	0	9	24	8	5	51	538	0	0	2	7	5	0	2	0	1326.0
hsa-miR-185-5p	4	4	15	6	0	0	6	2	4	10	0	4	54	355	2	10	6	13	11	0	6	4	7	24	2	2	5	0	13	0	29	4	8	0	6	26	418	2	51	90	2	2	17	4	7	53	14	3	1305.0
hsa-let-7f-2-3p	13	16	30	35	0	15	21	2	5	15	8	0	162	199	37	0	3	16	15	16	10	33	3	18	7	2	0	10	3	8	7	6	3	0	42	30	99	14	78	238	10	2	14	2	6	17	18	0	1288.0
hsa-miR-376c-3p	2	0	30	51	0	0	0	0	8	2	0	0	242	341	27	3	3	7	3	0	2	4	0	14	0	0	2	5	5	2	8	0	0	0	28	15	125	0	32	272	13	2	11	9	0	5	4	0	1277.0
hsv2-miR-H10	9	7	25	6	0	0	23	3	5	2	0	3	55	180	11	8	23	14	18	30	0	0	9	25	46	20	7	4	67	3	34	5	108	25	9	27	199	6	108	32	2	3	17	7	12	31	18	9	1255.0
hsa-miR-3688-3p	2	8	38	6	0	2	5	0	11	4	0	8	16	293	7	7	15	5	16	2	0	10	0	5	0	2	0	0	42	0	15	9	0	0	7	13	405	5	122	83	5	2	9	3	2	56	11	0	1251.0
hsa-miR-330-5p	2	6	15	21	0	7	0	0	5	0	0	2	216	339	22	2	4	7	2	12	0	10	0	4	2	0	0	4	6	3	2	2	2	3	14	21	30	0	61	372	0	0	4	0	4	5	7	0	1218.0
hsa-miR-664a-5p	10	8	11	25	0	0	11	0	0	10	4	0	230	276	11	3	0	14	2	19	5	7	2	7	0	0	8	10	15	0	11	8	6	2	9	29	44	6	41	301	0	5	17	4	4	20	4	7	1206.0
hsa-miR-590-3p	6	8	22	34	0	2	4	0	10	7	0	4	256	303	24	2	4	21	15	8	2	2	3	13	2	0	3	2	0	6	5	4	3	0	6	21	80	6	63	188	14	4	10	3	12	0	21	0	1203.0
hsa-miR-10527-5p	0	4	21	23	0	0	2	0	3	3	2	0	214	352	19	0	7	2	3	0	0	7	0	3	0	0	4	2	11	0	0	0	0	4	5	19	61	2	68	309	3	2	2	2	3	9	17	0	1188.0
hsa-miR-628-5p	7	4	16	47	0	9	4	0	12	12	2	3	201	308	38	3	3	7	0	8	0	2	0	17	0	0	5	8	0	0	2	5	0	0	2	11	67	2	63	289	0	0	8	5	4	2	9	3	1188.0
hsa-miR-598-3p	6	16	24	30	0	2	5	2	3	15	3	0	113	335	14	0	2	3	2	5	0	16	0	3	0	0	0	6	13	0	8	0	0	2	16	51	208	2	87	130	2	4	4	8	2	21	10	0	1173.0
hsa-miR-3200-5p	0	12	13	12	0	0	2	0	15	3	4	0	55	499	18	10	6	24	14	0	0	3	0	7	0	2	4	8	14	0	9	2	0	0	0	8	249	0	69	56	17	9	6	3	0	2	0	0	1155.0
hsa-miR-4485-3p	9	4	4	25	0	0	3	0	2	0	0	2	39	35	41	2	2	52	2	71	2	0	2	14	3	0	15	2	0	4	21	4	0	0	3	600	19	5	14	29	6	0	23	2	26	5	26	0	1118.0
hsa-miR-101-5p	6	21	34	25	3	7	9	3	2	4	5	5	61	240	43	3	5	9	5	27	2	7	2	16	33	0	6	5	35	6	28	13	4	3	21	33	189	6	32	85	7	6	18	5	6	10	17	4	1116.0
hsa-miR-6842-3p	3	6	16	13	0	0	4	2	2	9	3	0	200	228	18	0	0	8	7	17	0	9	3	20	2	3	3	9	3	2	5	0	3	0	17	35	78	6	63	244	4	0	8	4	8	11	15	0	1091.0
hsa-miR-377-5p	0	0	16	48	0	0	0	0	2	2	0	0	233	318	48	0	3	7	0	0	0	5	0	7	2	0	5	5	0	0	0	7	0	0	11	25	32	2	34	224	2	0	7	2	0	2	9	0	1058.0
hsa-miR-450a-5p	3	18	27	36	0	0	3	0	2	4	4	0	89	353	35	0	5	9	0	28	0	42	0	12	0	0	12	2	0	6	22	10	4	0	2	22	38	5	92	119	12	0	3	7	6	0	11	0	1043.0
hsa-miR-1306-5p	16	26	10	22	0	4	8	7	7	17	13	5	117	154	8	18	10	21	10	11	30	39	10	12	7	40	8	13	28	7	28	0	5	12	16	15	44	8	33	52	16	11	12	20	24	27	33	4	1038.0
hsa-miR-1185-1-3p	2	2	7	40	0	0	4	0	2	3	0	0	177	306	8	0	0	3	3	1	0	9	0	7	0	0	0	4	0	0	0	8	0	0	12	15	80	6	24	303	0	0	3	2	0	2	5	0	1037.0
hsa-miR-3200-3p	2	20	18	8	0	2	6	0	2	0	4	0	14	294	11	0	0	17	19	2	0	17	6	10	5	0	2	0	14	0	13	2	0	0	6	8	331	0	75	39	6	12	8	6	0	50	0	0	1029.0
hsa-miR-5010-3p	3	2	19	14	0	0	25	4	10	8	8	7	99	258	10	14	15	16	20	6	5	7	3	6	2	4	0	6	13	6	10	4	2	3	19	14	214	8	25	63	4	9	12	5	11	14	19	3	1029.0
hsa-miR-6511b-3p	11	18	14	11	2	7	18	10	20	14	13	23	94	127	11	11	34	20	15	4	2	19	5	10	10	10	6	8	58	8	25	4	7	12	14	5	119	14	30	53	9	5	8	20	30	41	12	3	1024.0
hsa-miR-193b-5p	14	13	30	25	0	5	4	0	8	3	0	2	24	16	18	0	4	3	4	7	11	4	2	13	90	9	3	38	7	0	41	54	0	9	2	19	18	2	11	7	0	4	7	4	19	50	11	406	1021.0
hsa-miR-409-5p	0	0	10	21	0	5	0	0	2	0	0	0	201	583	50	0	0	5	0	0	2	5	0	6	0	0	6	2	0	0	0	0	0	0	0	9	40	0	8	61	0	0	0	0	0	0	0	0	1016.0
hsa-miR-616-5p	10	5	37	23	0	3	0	0	4	4	0	0	116	238	28	5	0	4	0	23	2	5	0	0	10	0	4	3	7	5	16	8	0	0	19	34	123	0	71	130	12	0	11	4	2	16	9	2	993.0
hsa-let-7f-1-3p	10	12	20	21	0	2	7	0	9	2	3	3	103	211	10	0	15	17	7	30	10	8	4	17	2	8	10	8	19	5	13	2	4	0	6	14	149	12	55	95	5	2	25	8	8	5	10	6	992.0
hsa-miR-641	7	0	16	9	0	16	8	3	5	2	2	3	158	307	6	2	5	0	0	2	2	8	2	9	0	0	2	0	0	3	3	0	0	0	7	10	53	0	76	189	4	0	8	2	10	9	3	0	951.0
hsa-miR-200b-3p	9	4	5	26	0	0	9	0	0	4	4	0	255	168	6	0	0	3	0	4	3	0	0	6	10	0	2	4	0	0	0	3	0	0	3	14	19	5	32	188	6	0	11	0	5	124	8	0	940.0
hsa-miR-128-1-5p	6	2	20	17	0	3	5	0	4	3	2	0	143	173	29	0	4	13	4	29	4	7	4	9	4	0	5	2	5	4	2	3	6	0	13	32	36	0	61	202	4	2	22	5	0	17	25	0	931.0
hsa-miR-27a-5p	0	15	2	8	0	0	8	6	5	4	2	0	45	29	5	2	18	23	32	307	0	12	0	37	0	15	2	15	0	0	13	8	0	0	13	80	11	18	13	60	5	18	14	0	9	20	17	2	893.0
hsa-miR-362-3p	11	6	41	25	0	0	3	0	4	3	0	0	53	148	15	9	2	10	5	9	0	3	0	15	22	16	6	9	29	3	16	9	61	14	5	9	183	3	55	30	2	7	6	0	17	0	18	9	891.0
hsa-miR-636	10	2	26	10	0	3	17	7	4	17	7	3	46	153	9	2	14	14	11	3	4	8	2	20	14	17	4	5	73	7	9	2	12	2	11	16	153	3	40	29	9	0	14	5	8	35	10	2	872.0
hsa-miR-3173-5p	18	24	37	10	0	13	18	4	2	13	11	2	70	91	7	9	14	25	16	2	9	13	8	11	27	18	14	5	41	0	14	9	0	11	13	6	117	2	37	16	12	4	14	17	22	26	17	2	871.0
hsa-miR-9985	16	8	21	19	7	5	18	2	4	4	4	3	61	90	13	6	4	10	8	33	6	9	9	25	12	7	5	14	14	2	53	58	14	5	8	32	56	5	40	61	6	9	12	7	13	21	13	10	862.82
hsa-miR-744-3p	4	2	12	17	0	0	4	0	4	4	0	4	153	209	15	2	7	14	2	8	2	2	2	11	4	0	0	2	0	6	0	4	0	0	15	14	54	2	46	196	6	4	3	0	0	11	13	0	858.0
hsa-miR-582-5p	2	17	67	66	2	2	4	0	5	0	3	0	93	113	47	3	0	0	0	21	2	46	2	8	2	3	4	2	3	0	4	6	6	0	10	22	30	8	83	137	16	0	0	4	2	5	6	2	858.0
hsa-miR-937-3p	9	12	19	10	4	8	22	6	3	0	3	0	75	89	12	6	8	5	10	11	12	11	4	7	35	15	6	7	52	7	22	4	19	5	8	8	71	4	52	47	9	10	9	10	15	63	9	5	838.0
hsa-let-7e-3p	5	0	11	10	0	0	0	0	5	5	0	2	253	79	6	0	6	13	3	0	3	18	4	2	0	3	2	10	3	0	3	3	0	0	8	44	13	5	18	254	2	3	3	15	0	2	19	0	835.0
hsa-miR-431-3p	0	0	5	21	0	0	0	0	5	0	0	0	228	192	12	0	0	3	3	0	0	7	0	0	4	0	0	0	0	0	4	0	0	0	11	7	56	3	18	249	2	0	3	0	0	0	0	0	833.0
hsa-miR-656-3p	6	0	11	41	0	3	0	2	8	0	0	0	147	233	23	2	0	7	10	3	2	5	0	7	2	7	5	6	0	2	4	4	0	0	18	22	61	3	20	128	10	8	11	0	0	0	10	0	831.0
hsa-miR-548j-5p	3	5	7	26	0	2	5	0	2	3	0	0	184	183	13	0	2	5	5	0	0	6	0	0	0	3	0	7	3	0	0	0	0	0	28	24	72	0	20	188	2	2	2	0	0	14	5	3	820.5
hsa-miR-6735-5p	5	2	17	12	0	0	2	0	5	2	0	0	89	240	25	0	5	2	8	14	0	0	0	11	8	4	3	7	21	0	9	3	2	0	0	12	87	6	55	110	5	2	11	0	0	0	4	2	790.0
hsa-miR-3613-3p	3	5	15	26	2	0	15	0	0	3	2	0	66	173	17	0	4	16	26	27	0	4	0	17	3	3	4	0	8	0	7	2	2	0	6	78	102	12	28	29	4	4	19	4	5	13	6	2	762.0
hsa-miR-4772-3p	4	19	23	18	0	0	6	0	2	8	0	2	75	179	21	2	2	12	14	37	3	26	0	8	2	3	0	0	0	0	5	2	0	0	14	60	49	17	37	76	6	0	13	12	4	0	0	0	761.0
hsa-miR-33a-5p	0	4	10	9	0	5	4	0	4	0	8	0	164	124	11	0	2	0	7	4	0	6	2	13	2	0	0	13	0	0	2	2	0	2	17	13	55	8	21	190	5	5	0	4	5	5	18	0	744.0
hsa-miR-4326	6	7	30	10	0	5	3	0	2	5	0	3	87	223	19	4	3	12	13	0	9	0	7	15	0	0	4	0	7	0	5	2	2	6	5	9	48	0	55	75	10	0	17	3	2	19	11	0	743.0
hsa-miR-7849-3p	2	2	9	16	0	0	2	0	0	2	0	0	164	147	14	0	4	5	0	0	0	4	0	10	0	0	0	0	2	0	0	0	0	0	3	6	25	0	29	264	0	0	0	4	0	0	2	2	718.0
hsa-miR-487a-3p	0	0	15	57	0	0	0	0	9	2	0	2	104	233	56	0	0	8	3	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	2	3	31	0	15	148	0	2	3	5	0	0	6	5	717.0
hsa-miR-4435	2	3	18	9	0	0	7	0	8	0	3	2	114	198	16	0	0	4	3	0	0	2	2	15	2	0	0	0	0	0	5	2	0	4	3	9	19	3	41	206	7	0	0	6	0	0	2	0	715.0
