miRNA_name	SRX1169949	SRX1169948	SRX1169947	SRX1169946	SRX1169945	SRX1169944	SRX1169943	SRX1169942	SRX1169941	SRX1169940	SRX1169929	SRX1169921	SRX1169920	SRX1169923	SRX1169922	SRX1169925	SRX1169924	SRX1169927	SRX1169926	SRX1169958	SRX1169950	SRX1169951	SRX1169952	SRX1169953	SRX1169954	SRX1169955	SRX1169956	SRX1169957	SRX1169938	SRX1169939	SRX1169919	SRX1169932	SRX1169933	SRX1169930	SRX1169936	SRX1169937	SRX1169935
hsa-miR-130a-3p	172	295	279	192	99	283	763	577	635	833	305	933	227	520	636	82	57	768	25	399	295	98	840	617	161	333	321	53	333	39	65	300	594	160	368	334	147	13138.0
hsa-miR-5010-3p	190	211	295	278	314	138	414	193	423	589	313	841	274	634	646	50	102	822	20	403	371	207	677	506	308	502	270	96	222	65	521	341	307	430	569	243	336	13121.0
hsa-miR-4685-3p	358	654	626	636	221	306	954	223	599	460	288	314	149	167	263	21	14	276	12	545	364	131	356	290	340	421	435	266	486	207	314	284	294	282	490	170	340	12556.0
hsa-miR-29a-3p	104	181	444	144	120	267	352	460	592	457	352	774	161	247	316	47	36	742	21	339	127	148	871	640	363	394	583	65	300	42	500	252	538	232	453	457	243	12364.0
hsa-miR-1180-3p	125	193	268	134	112	224	328	87	282	430	209	412	469	1593	677	10	94	1369	18	394	195	102	460	363	357	279	244	126	391	30	946	244	160	165	176	334	309	12309.0
hsa-miR-345-5p	103	107	236	304	212	258	254	70	347	253	230	401	537	1216	592	39	100	1346	22	265	164	113	497	393	205	172	72	40	259	86	1546	188	241	122	209	353	138	11690.0
hsa-miR-625-3p	306	277	231	249	122	183	254	204	386	468	526	760	420	616	440	56	83	999	38	374	311	199	960	251	155	303	128	80	194	115	189	259	261	352	443	264	218	11674.0
hsa-miR-199a-5p	161	130	200	255	238	142	34	287	469	272	184	636	586	667	355	43	142	886	16	271	244	402	886	456	272	236	169	102	307	55	449	120	343	182	384	336	488	11405.0
hsa-miR-574-3p	138	206	373	326	179	332	566	373	448	458	247	405	172	284	374	69	22	505	5	458	167	125	460	339	363	460	365	68	283	136	357	243	245	174	474	223	200	10622.0
hsa-miR-296-5p	144	266	365	188	191	324	634	70	612	647	226	204	74	373	271	9	55	546	18	311	195	63	315	300	151	474	270	42	235	249	901	121	148	165	90	245	230	9722.0
hsa-miR-143-3p	71	21	45	74	30	122	69	41	183	128	134	633	627	964	570	148	94	2740	82	55	78	115	504	358	108	89	108	12	284	42	217	117	130	73	96	424	62	9648.0
hsa-miR-27b-3p	83	62	162	38	50	248	173	258	466	386	181	654	639	694	427	60	134	1276	27	94	82	63	471	298	187	108	133	16	363	51	421	138	176	140	171	488	116	9526.849999999999
hsa-miR-454-3p	74	110	226	37	54	397	288	372	479	612	389	628	424	462	339	65	40	893	38	80	79	73	390	566	228	159	81	10	264	18	164	248	281	197	207	282	139	9393.0
hsa-miR-19a-3p	64	66	108	118	54	340	84	308	326	135	506	63	12	46	139	29	3	370	30	61	90	135	2113	1062	199	297	237	17	192	44	56	488	281	356	332	357	232	9349.34
hsa-miR-324-5p	120	183	350	363	163	283	341	217	444	358	269	175	91	386	141	11	27	311	3	254	157	127	595	322	249	178	264	77	238	86	286	248	246	180	331	292	202	8568.0
hsa-miR-4433b-5p	22	161	248	184	44	47	187	91	461	174	165	1032	137	378	238	45	67	738	9	120	161	198	602	312	95	142	393	101	424	81	304	96	95	78	267	71	267	8235.0
hsa-miR-181a-2-3p	172	122	216	175	103	158	103	40	354	303	213	831	332	383	255	50	86	783	15	182	201	149	193	230	125	168	46	63	268	61	229	169	261	220	309	348	129	8045.0
hsa-miR-1306-5p	92	110	155	159	117	166	227	70	166	228	152	216	336	1034	312	13	112	1088	16	165	112	82	286	166	162	236	147	66	169	73	615	136	106	87	162	120	109	7768.0
hsa-miR-210-3p	61	70	128	134	51	110	82	112	354	211	242	226	108	357	219	44	9	475	4	124	128	121	2193	389	169	92	111	10	162	82	214	147	176	174	186	172	19	7666.0
hsa-miR-30e-3p	176	55	80	109	65	141	82	86	340	335	133	854	383	327	427	79	74	728	12	149	129	123	321	268	129	167	76	23	282	37	185	111	249	92	213	312	165	7516.0
hsa-miR-3613-3p	243	88	128	156	140	161	249	155	228	275	160	240	261	294	185	8	35	273	12	235	227	130	571	171	120	360	277	69	97	58	91	211	139	188	370	188	169	6962.0
hsa-miR-339-3p	118	122	112	181	75	105	191	111	187	213	187	490	274	571	269	13	70	636	10	326	120	76	394	205	102	116	75	47	190	92	349	105	174	100	203	197	76	6882.0
hsa-miR-1307-3p	54	69	154	132	67	174	167	53	258	463	215	267	100	322	289	15	19	403	9	181	196	105	339	551	223	198	77	41	270	25	477	105	109	110	119	381	71	6808.0
hsa-miR-98-5p	33	30	174	35	28	199	139	165	262	276	138	994	697	240	417	108	54	653	25	75	55	45	157	248	141	70	34	12	224	25	322	102	120	98	121	203	52	6767.000000000001
hsa-miR-127-3p	19	49	8	15	9	34	135	103	71	135	4	58	142	1253	709	119	65	774	9	144	156	63	516	268	97	56	165	14	100	42	739	22	26	13	51	218	78	6479.0
hsa-miR-660-5p	45	56	155	57	53	130	73	101	332	236	239	287	158	270	269	41	16	724	18	159	75	92	541	510	196	151	102	35	153	12	78	159	261	246	160	180	92	6462.0
hsa-miR-340-3p	157	65	141	167	40	153	101	145	330	124	70	334	339	433	303	33	133	816	24	179	94	105	140	81	56	105	75	55	257	74	386	73	218	85	113	190	170	6364.0
hsa-miR-18b-3p	102	224	206	247	99	209	657	76	234	219	130	111	121	194	130	2	20	310	7	202	208	84	194	176	135	154	143	64	203	44	318	175	118	132	342	148	169	6307.0
hsa-miR-29b-3p	151	85	196	135	52	265	209	399	367	209	137	373	109	78	195	46	19	237	7	208	67	106	280	238	83	185	160	34	253	35	68	156	253	141	286	248	174	6245.700000000001
hsa-miR-7977	93	107	197	249	74	1102	189	147	224	268	88	464	81	32	63	8	7	210	3	152	100	63	116	97	114	72	71	47	377	117	314	50	79	61	144	412	164	6156.0
hsa-miR-6803-3p	73	138	202	227	91	180	396	121	280	252	142	205	157	417	183	11	42	601	2	87	116	39	178	123	94	195	129	49	196	65	382	108	70	96	167	118	101	6033.0
hsa-miR-28-3p	194	63	61	147	106	61	156	103	103	282	86	346	63	122	154	30	12	327	8	240	194	133	457	333	195	120	68	61	191	39	54	215	192	76	191	343	211	5737.0
hsa-miR-142-3p	170	27	69	69	36	107	64	122	430	114	295	81	16	14	73	8	3	138	19	30	86	142	770	466	125	239	18	25	176	27	50	234	211	167	324	312	387	5644.0
hsa-miR-103a-2-5p	124	195	176	363	113	240	375	319	303	254	103	152	52	47	69	11	0	180	6	140	99	61	289	209	135	106	245	32	193	115	130	98	119	66	141	148	136	5544.0
hsa-miR-26b-3p	95	64	134	201	58	256	156	113	239	117	43	233	216	564	158	12	81	495	11	54	68	57	85	70	48	31	55	16	168	95	948	53	93	44	103	168	107	5509.0
hsa-miR-505-3p	163	96	167	161	95	153	126	98	275	180	54	116	103	289	173	5	35	410	4	139	126	99	349	157	121	135	143	66	216	145	317	59	91	51	97	174	155	5343.0
hsa-miR-744-5p	89	78	139	84	57	106	106	99	181	222	99	283	157	254	215	28	53	548	5	214	129	64	361	230	155	151	165	51	174	58	193	78	71	81	134	160	66	5338.0
hsa-miR-326	52	153	174	213	85	80	152	53	220	169	160	253	66	248	220	10	33	486	4	149	97	90	187	172	116	124	86	53	105	43	235	151	130	124	324	67	120	5204.0
hsa-miR-181b-5p	70	82	102	106	45	106	159	81	170	219	111	245	102	269	192	6	12	293	8	142	162	78	342	532	119	144	40	33	139	22	189	122	138	91	114	258	75	5118.0
hsa-miR-18a-5p	25	23	113	38	32	111	97	235	190	144	239	191	17	33	141	29	2	317	17	71	68	54	844	536	218	92	186	2	81	5	57	185	178	125	142	120	51	5007.5
hsa-miR-378a-5p	133	121	125	225	99	85	123	79	259	141	166	122	66	202	99	7	25	275	0	263	139	157	220	132	86	136	144	76	143	96	171	124	183	91	187	143	140	4983.0
hsa-miR-17-3p	34	117	199	161	60	174	215	127	343	191	138	101	14	33	73	12	6	172	2	80	81	67	504	380	180	84	174	15	181	47	99	127	186	129	162	236	56	4960.0
hsa-miR-6511a-3p	79	90	115	75	68	53	182	87	140	210	132	211	129	433	193	11	23	523	7	122	115	77	205	152	68	149	171	24	67	43	247	160	62	124	237	72	98	4953.28
hsa-miR-589-5p	100	109	150	111	113	72	114	76	132	166	117	217	80	73	110	16	7	134	2	291	85	124	582	284	175	103	246	74	103	15	65	101	136	95	122	146	121	4767.0
hsa-miR-503-5p	73	64	146	36	81	87	237	106	213	189	144	276	89	50	196	0	10	84	7	223	71	65	271	359	191	50	203	40	165	8	73	66	67	158	193	151	63	4505.0
hsa-miR-28-5p	164	75	106	79	68	126	107	221	209	177	93	384	47	44	85	40	10	164	2	163	106	74	297	189	98	112	143	30	122	34	30	114	264	58	157	188	109	4489.0
hsa-miR-409-3p	17	113	17	22	21	42	68	98	137	129	6	93	73	483	348	81	42	460	4	133	232	89	390	238	47	152	150	27	84	100	149	19	26	27	83	103	117	4420.0
hsa-let-7i-3p	51	103	132	138	42	134	136	93	240	146	111	407	134	147	173	20	16	346	4	65	50	59	254	206	104	74	117	25	124	23	217	69	97	79	115	81	66	4398.0
hsa-miR-2110	85	78	132	82	59	99	160	75	87	205	104	150	67	280	197	11	15	211	3	200	104	75	308	225	145	134	87	63	76	28	149	88	78	77	130	128	69	4264.0
hsa-miR-454-5p	156	97	170	78	33	168	119	113	284	134	101	189	138	87	59	2	16	162	8	216	99	108	164	104	58	176	71	50	120	41	65	70	169	112	168	149	144	4198.0
hsa-let-7b-3p	156	127	109	120	77	34	74	42	180	173	93	364	202	287	52	2	65	391	0	180	108	107	96	50	20	175	95	71	69	43	38	62	90	42	144	66	191	4195.0
hsa-miR-6511b-3p	52	78	134	76	58	58	183	72	126	179	109	171	68	164	99	9	25	335	2	158	108	78	158	155	91	217	126	59	109	33	144	161	94	63	190	78	123	4143.8
hsa-miR-3158-3p	44	26	51	44	21	57	42	59	58	78	63	157	155	247	177	20	51	629	13	136	70	39	323	189	137	103	267	38	109	31	177	63	87	65	111	126	48	4111.0
hsa-miR-3613-5p	3	0	12	7	42	13	6	50	163	58	480	81	79	451	124	40	4	893	9	9	2	8	668	159	226	9	6	0	17	4	178	78	21	49	6	14	14	3983.0
hsa-miR-221-5p	36	31	69	19	50	114	88	131	127	212	58	411	121	117	193	26	13	246	13	72	67	45	182	196	112	73	88	6	113	11	81	62	116	60	103	232	70	3764.0
hsa-miR-130b-3p	60	95	137	76	19	67	165	104	153	209	111	216	96	117	160	15	28	219	7	111	69	62	349	140	61	95	109	34	97	11	24	75	125	39	124	120	54	3753.0
hsa-miR-550a-5p	45	19	68	34	38	58	62	38	69	79	27	127	460	353	186	12	53	580	2	51	78	17	73	74	77	60	45	26	133	9	456	22	44	33	67	86	41	3703.5800000000004
hsa-miR-494-3p	21	89	17	7	19	22	79	149	83	66	15	63	30	214	262	92	26	277	9	214	196	97	291	185	73	150	172	43	86	37	45	41	59	58	118	126	145	3676.0
hsa-miR-335-5p	147	41	83	52	29	58	35	101	148	137	109	103	15	4	129	12	2	84	6	227	85	108	238	127	31	200	233	37	143	15	4	99	176	117	169	173	180	3657.0
hsa-miR-155-5p	47	57	91	29	45	50	131	102	153	207	61	263	122	153	166	11	12	163	3	131	73	28	235	230	93	167	63	20	53	6	48	68	97	51	73	109	48	3459.0
hsa-miR-335-3p	97	51	39	44	24	72	45	110	146	103	46	308	232	205	151	33	76	686	5	64	34	12	72	18	19	61	36	10	114	17	103	27	50	14	58	22	84	3288.0
hsa-miR-769-5p	17	22	24	36	22	24	17	53	54	57	32	193	155	402	244	23	32	738	14	61	54	23	315	90	51	42	35	10	37	31	92	33	26	28	49	46	16	3198.0
hsa-miR-29b-2-5p	29	59	77	42	37	83	168	126	157	183	80	215	41	36	146	19	11	162	2	78	50	26	289	197	105	52	94	7	107	46	36	90	89	47	61	101	28	3176.0
hsa-miR-29c-3p	23	38	91	53	33	91	103	113	269	110	153	89	39	48	90	18	4	154	5	53	25	35	208	267	79	72	41	2	128	9	51	80	128	80	95	161	45	3081.3500000000004
hsa-miR-181a-3p	44	34	28	19	18	75	37	57	93	41	65	275	257	196	164	13	53	489	11	41	47	40	121	125	29	44	55	4	76	16	50	36	84	44	58	181	48	3067.5
hsa-miR-215-5p	2	0	0	2	0	1	0	0	0	3	1	113	448	604	195	15	153	1171	14	2	0	0	7	4	4	4	1	0	3	0	267	3	0	0	0	6	0	3018.0
hsa-miR-3200-3p	18	56	80	66	55	118	92	64	71	102	58	102	92	295	95	19	6	164	0	86	48	60	219	104	91	44	80	4	49	26	176	92	78	48	94	87	65	3004.0
hsa-miR-618	94	39	52	173	52	73	50	59	144	91	43	208	17	156	76	17	41	209	4	49	52	95	236	79	26	71	42	34	162	38	103	50	105	40	68	113	21	2982.0
hsa-miR-10401-3p	12	45	58	48	11	21	51	12	32	86	76	70	169	664	218	4	44	405	3	11	43	14	31	32	14	45	47	16	93	21	194	46	23	26	60	72	62	2879.04
hsa-miR-766-3p	34	51	84	93	46	47	177	52	64	129	88	101	96	209	108	2	25	304	0	96	77	40	74	79	56	116	67	51	58	30	84	51	57	31	102	45	49	2873.0
hsa-miR-625-5p	51	83	97	75	23	62	112	74	140	85	48	83	146	162	143	8	49	196	8	64	85	31	168	63	60	44	74	27	67	34	231	39	24	22	50	55	53	2836.0
hsa-miR-424-3p	37	25	52	28	30	27	43	33	95	74	63	139	161	439	252	0	40	113	9	109	33	36	104	141	55	31	108	28	78	2	168	32	23	52	67	76	32	2835.0
hsa-miR-340-5p	71	19	40	23	16	26	13	33	90	40	110	102	27	84	136	30	4	266	4	89	64	50	437	192	58	73	31	8	30	6	12	79	91	63	75	113	45	2650.0
hsa-miR-1301-3p	22	32	35	54	34	26	61	39	61	102	23	89	122	215	175	10	38	252	5	99	58	25	119	141	80	83	112	19	72	11	218	17	39	20	44	49	27	2628.0
hsa-miR-500a-5p	18	85	103	114	40	154	116	110	125	110	92	57	17	34	48	4	8	76	0	84	47	33	157	101	73	35	58	21	74	22	67	74	77	75	88	62	40	2492.0
hsa-miR-501-5p	22	80	112	82	39	92	134	56	150	125	64	50	20	58	36	4	0	77	0	115	48	36	199	114	96	54	61	15	90	25	48	67	103	61	44	74	35	2486.0
hsa-miR-7706	54	22	27	66	25	74	58	55	40	92	19	93	42	170	133	27	13	245	6	71	40	67	163	70	76	23	63	18	96	12	136	12	20	42	65	127	97	2459.0
hsa-miR-1249-3p	55	53	60	54	47	29	141	18	130	99	109	74	41	109	47	4	3	155	2	110	75	39	57	76	59	99	52	26	68	84	62	65	44	72	120	43	51	2432.0
hsa-miR-636	47	57	69	69	27	72	130	16	100	89	60	103	52	192	71	7	31	236	5	81	33	14	46	59	33	57	23	16	88	34	168	49	34	36	82	83	57	2426.0
hsa-miR-30a-5p	11	14	27	8	20	12	9	15	20	34	21	415	136	113	676	16	2	72	2	68	29	20	87	56	121	85	89	8	21	0	25	18	24	20	23	22	76	2409.0
hsa-miR-624-5p	3	0	47	12	9	85	17	70	54	45	39	143	208	260	157	12	43	390	9	18	15	12	62	19	45	17	20	0	55	0	310	21	47	28	46	52	33	2403.0
hsa-miR-10399-3p	15	28	25	38	23	48	75	16	63	127	42	156	55	345	102	9	18	443	3	41	35	23	56	68	38	50	28	21	67	4	34	35	35	23	46	89	33	2357.0
hsa-miR-874-3p	26	23	29	31	11	20	56	39	51	55	13	159	79	281	188	9	27	336	6	43	25	11	144	79	48	41	77	0	18	8	301	9	15	13	20	32	15	2338.0
hsa-miR-4732-5p	54	63	138	30	11	19	34	33	37	69	30	93	47	116	94	2	13	119	3	153	103	43	245	135	110	84	169	28	16	11	49	44	19	19	45	26	29	2333.0
hsa-miR-1843	13	15	35	11	13	21	31	15	38	52	24	176	213	433	146	14	46	390	2	26	15	11	62	63	39	28	29	6	14	3	196	27	25	13	30	36	16	2327.0
hsa-miR-500b-5p	16	76	91	107	37	136	108	101	117	99	87	52	17	32	45	4	8	74	0	77	42	30	140	94	63	35	53	21	71	15	65	67	77	71	84	58	38	2301.0
hsa-miR-331-5p	23	31	54	23	29	45	50	10	61	121	50	85	55	163	149	5	4	246	4	65	41	20	102	146	104	39	13	10	87	10	161	46	39	39	54	78	24	2286.0
hsa-miR-342-5p	43	70	66	48	24	32	162	74	62	128	28	74	26	57	41	0	2	121	0	151	52	33	124	157	82	143	112	16	33	8	38	21	41	29	44	35	53	2230.0
hsa-miR-374a-5p	84	15	26	6	14	123	23	199	114	95	141	35	10	2	28	7	0	77	3	16	25	37	192	221	58	38	27	4	64	0	0	93	121	67	118	65	68	2216.0
hsa-miR-185-3p	24	31	35	32	19	18	18	4	31	53	21	103	109	421	155	12	17	225	2	49	23	17	76	64	30	21	8	16	49	6	342	24	25	20	24	59	20	2203.0
hsa-miR-3173-5p	51	65	56	64	31	66	108	32	96	103	32	46	24	21	39	2	3	77	2	95	66	25	207	83	38	117	80	39	74	37	75	38	43	36	72	69	62	2174.0
hsa-miR-584-3p	41	65	82	65	64	67	179	5	91	63	43	49	45	248	96	5	29	177	2	61	22	36	16	49	33	15	5	8	56	12	170	48	35	42	40	45	44	2153.0
hsa-miR-4742-3p	48	41	78	34	35	43	53	44	70	87	36	152	39	80	51	11	6	88	6	149	37	34	72	62	46	82	45	33	102	22	42	53	91	34	70	72	43	2091.0
hsa-miR-29c-5p	25	29	56	139	50	66	59	62	115	61	45	60	11	61	49	4	8	135	0	72	34	30	127	55	41	35	36	14	87	42	61	51	75	34	119	82	42	2072.0
hsa-miR-199b-5p	53	9	19	16	16	9	18	20	70	53	45	182	71	128	61	9	30	317	12	54	20	39	129	52	40	52	17	8	60	9	20	36	95	23	79	145	48	2064.0
hsa-miR-1271-5p	106	22	4	20	25	54	8	150	8	123	2	146	37	134	133	97	34	198	13	7	25	6	219	13	52	27	20	0	8	12	225	0	7	0	14	15	58	2022.0
hsa-miR-421	68	53	98	27	26	51	52	29	75	77	69	74	61	75	83	0	7	98	4	126	54	34	96	73	38	44	9	26	32	12	36	48	81	36	50	47	28	1897.0
hsa-miR-409-5p	15	71	4	5	5	32	46	98	52	39	2	19	45	168	95	66	14	274	2	41	63	33	117	68	19	23	83	4	31	58	135	6	15	5	23	41	44	1861.0
hsa-miR-148b-5p	19	16	16	17	19	21	18	24	39	48	37	115	133	290	123	13	33	349	4	19	18	14	102	51	14	15	31	0	25	5	44	26	44	36	37	19	11	1845.0
hsa-miR-22-5p	33	45	108	62	11	28	49	40	102	80	69	42	9	11	23	0	0	33	0	48	51	26	242	168	45	39	64	21	55	10	18	36	58	38	59	81	34	1838.0
hsa-miR-5001-3p	33	26	35	47	41	26	28	41	53	45	20	97	93	110	115	8	21	137	0	54	24	25	100	50	35	35	48	13	26	17	212	15	44	20	41	30	48	1813.0
hsa-miR-3605-3p	24	41	41	39	25	48	66	15	69	63	51	44	39	205	57	0	10	128	4	69	41	24	113	69	22	66	34	22	40	10	89	31	34	20	65	48	36	1802.0
hsa-miR-140-5p	11	16	19	17	12	25	22	77	92	69	75	176	39	23	81	12	4	162	5	14	19	18	236	117	45	20	52	2	36	6	26	36	50	52	59	41	18	1784.0
hsa-miR-3200-5p	11	43	61	58	22	88	122	39	57	123	32	99	53	72	44	0	10	31	0	80	23	18	102	93	35	71	69	14	29	5	12	35	54	18	66	57	34	1780.0
hsa-miR-365b-3p	16	27	44	33	27	25	83	22	53	77	81	88	11	17	16	6	0	25	0	123	30	23	108	36	39	77	96	14	57	9	19	104	53	49	142	70	47	1739.5
hsa-miR-365a-3p	16	27	44	33	27	25	83	22	53	77	81	88	11	17	16	6	0	25	0	123	30	23	108	36	39	77	96	14	57	9	19	104	53	49	142	70	47	1739.5
hsa-miR-654-3p	11	38	6	4	3	21	20	69	58	27	2	29	72	173	156	46	20	400	4	27	40	24	45	30	9	29	13	7	34	11	150	6	12	7	37	26	37	1703.0
hsa-miR-664b-3p	39	37	46	40	24	30	71	40	77	74	54	98	51	66	50	4	12	101	8	45	51	36	75	45	47	70	59	13	27	10	75	37	38	32	62	19	37	1700.0
hsa-miR-4659a-3p	44	24	39	72	73	76	50	63	63	93	25	75	12	19	45	6	0	29	0	32	26	11	124	47	53	38	97	16	78	5	42	28	53	22	31	96	76	1678.5
hsa-miR-5100	8	15	16	42	29	218	54	48	28	110	31	397	62	3	32	4	10	117	4	15	27	14	44	11	11	8	6	10	33	18	46	18	9	28	49	69	13	1657.0
hsa-miR-4508	2	21	20	7	8	13	22	14	31	28	22	36	224	265	70	0	3	230	2	4	8	2	59	22	57	6	147	0	32	0	136	4	5	17	12	17	3	1549.0
hsa-miR-21-3p	2	3	16	16	4	6	7	0	10	7	10	102	103	341	162	2	14	389	9	20	11	6	8	74	28	17	0	0	16	0	84	3	17	6	7	14	3	1517.0
hsa-miR-4286	31	29	47	34	41	40	47	34	83	50	46	49	6	19	39	2	2	130	3	59	60	32	43	46	39	49	42	7	32	25	40	29	33	45	78	45	39	1475.0
hsa-miR-485-3p	10	47	11	2	3	20	52	30	61	43	6	7	17	137	69	16	9	108	0	46	71	24	143	75	15	84	40	27	39	29	73	21	10	10	32	38	40	1465.0
hsa-miR-196b-5p	9	16	55	5	2	50	31	23	96	101	65	151	81	25	61	6	2	152	2	7	6	10	42	51	36	14	4	2	57	3	82	50	39	23	21	52	33	1465.0
hsa-miR-1226-3p	25	30	43	33	32	33	80	26	47	50	23	55	30	74	55	0	2	63	0	50	41	16	64	61	28	65	47	22	67	11	100	22	13	27	32	49	45	1461.0
hsa-miR-1304-3p	47	14	24	19	22	48	23	44	59	58	45	33	55	87	43	0	7	178	0	25	37	15	91	86	23	31	49	9	33	12	53	28	16	33	36	43	25	1451.0
hsa-miR-199a-3p	4	2	31	5	3	34	11	66	65	53	41	170	45	39	68	19	9	137	4	3	11	5	155	109	41	19	35	0	52	3	31	25	24	21	23	51	13	1426.66
hsa-miR-152-3p	49	15	18	25	7	28	31	48	50	46	28	78	127	33	68	11	2	116	0	70	11	11	118	75	30	8	58	0	14	17	12	16	69	15	36	30	13	1383.0
hsa-miR-190a-5p	4	2	9	9	2	49	15	35	118	38	93	31	7	26	31	2	0	74	0	5	3	12	196	141	38	24	11	0	25	5	25	146	35	50	29	82	10	1382.0
hsa-miR-183-3p	18	15	53	10	32	30	84	44	46	96	46	21	0	5	4	0	0	7	0	85	35	62	41	37	10	43	43	18	82	22	3	31	39	51	64	108	55	1340.0
hsa-let-7c-5p	4	15	43	14	7	16	39	56	60	81	23	87	33	70	79	7	2	103	5	21	7	5	60	56	47	13	20	3	33	5	54	14	23	10	23	39	8	1183.5600000000002
hsa-miR-6513-3p	32	20	35	23	17	26	35	37	68	56	39	62	29	33	22	0	3	46	0	45	36	24	62	37	16	24	38	17	33	19	16	26	35	14	48	50	32	1155.0
hsa-miR-1294	9	7	38	5	2	10	9	5	34	21	7	53	53	93	96	4	17	258	0	33	18	5	61	30	29	5	25	2	19	9	132	8	5	2	8	8	2	1122.0
hsa-miR-330-3p	13	22	28	12	7	16	24	31	25	56	35	61	9	16	33	4	0	55	0	56	39	29	40	39	32	51	38	25	65	0	9	22	47	14	23	87	39	1102.0
hsa-miR-139-5p	20	20	54	22	0	17	41	34	29	46	11	80	27	29	37	0	0	31	0	49	33	24	49	39	20	58	15	22	32	2	25	34	47	14	45	39	43	1088.0
hsa-miR-7-1-3p	84	30	49	15	23	45	23	29	78	62	39	29	0	2	8	0	0	8	0	67	39	30	25	36	21	31	9	11	36	6	0	32	61	21	51	54	20	1074.0
hsa-miR-193a-5p	9	17	11	24	10	16	56	15	25	47	19	70	12	27	34	0	0	51	0	59	15	2	96	47	27	50	53	6	40	3	42	24	10	11	34	65	24	1051.0
hsa-miR-181c-5p	5	9	17	21	6	8	21	9	46	47	28	21	34	39	50	0	0	79	0	27	18	11	96	107	47	28	26	2	32	0	24	25	60	15	21	42	17	1038.0
hsa-miR-3909	26	8	11	2	9	28	8	14	38	55	21	56	45	72	37	3	14	97	0	26	30	17	27	31	14	22	25	14	51	8	75	16	28	11	25	22	27	1013.0
hsa-miR-132-3p	18	11	48	14	8	44	39	18	30	45	28	37	22	58	28	0	6	46	0	36	21	15	26	51	29	30	11	6	66	0	37	10	31	19	39	61	13	1001.0
hsa-miR-323b-3p	6	18	0	0	2	16	23	18	51	31	3	24	15	139	72	10	11	110	2	30	48	17	76	42	19	25	13	7	22	23	39	9	3	9	23	24	9	989.0
hsa-miR-10b-5p	32	6	20	10	4	9	26	18	23	50	16	164	44	39	36	5	4	61	0	34	20	22	28	27	5	9	18	3	29	8	14	22	33	21	28	59	26	973.0
hsa-miR-1976	6	18	25	29	9	16	60	13	35	27	33	27	53	117	55	0	5	102	0	17	15	9	21	18	14	23	13	10	19	2	64	19	15	16	32	13	17	967.0
hsa-miR-4306	12	17	26	20	8	34	43	30	51	43	30	61	19	6	20	11	2	48	1	31	23	11	26	20	15	20	26	7	68	18	12	19	30	23	54	67	16	959.0
hsa-miR-330-5p	22	25	13	28	16	17	23	20	26	47	30	76	13	20	49	2	4	82	0	39	13	16	43	28	14	25	9	15	43	0	18	17	39	15	28	41	30	946.0
hsa-miR-3130-5p	23	20	21	28	19	24	28	13	33	31	27	26	38	51	44	0	14	130	0	6	19	16	20	22	18	10	0	6	44	6	114	20	14	15	10	23	10	943.0
hsa-miR-200c-3p	16	15	15	11	8	18	36	23	29	51	29	83	9	5	31	3	0	36	0	31	17	9	69	71	52	35	18	2	33	6	7	19	35	11	34	52	16	935.0
hsa-miR-4443	12	8	61	11	7	43	19	0	9	41	21	35	3	2	25	3	5	62	0	95	52	30	15	14	37	12	4	28	43	8	14	12	23	21	73	68	12	928.0
hsa-miR-4804-3p	30	19	24	48	13	33	85	47	24	61	11	21	0	3	22	0	0	8	0	13	8	9	54	24	24	30	49	2	71	20	45	0	19	18	8	25	38	906.0
hsa-miR-548o-3p	16	4	25	13	8	34	12	12	39	38	28	86	11	12	23	7	0	41	0	23	15	18	48	42	14	21	25	3	45	3	5	24	61	38	39	31	33	897.0
hsa-miR-148a-5p	18	12	9	16	13	16	23	2	43	26	19	28	19	62	23	6	2	91	0	36	21	19	47	25	11	33	16	5	15	9	25	13	27	15	45	30	21	841.0
hsa-miR-133a-3p	16	10	26	25	15	11	2	3	67	31	104	37	3	44	6	0	6	89	2	8	8	11	4	6	6	45	4	2	39	0	42	5	13	7	2	99	25	823.0
hsa-miR-3688-3p	19	2	16	4	12	11	6	19	20	17	20	51	28	50	41	6	9	107	0	26	16	4	51	26	18	21	15	4	19	9	40	5	19	23	32	27	15	808.0
hsa-miR-146b-3p	5	0	5	5	0	5	9	7	17	18	8	66	33	134	62	2	6	177	0	28	8	3	23	21	7	14	27	2	10	6	49	2	13	5	10	4	10	801.0
hsa-let-7a-3p	46	4	4	9	2	13	0	5	54	6	20	21	21	37	13	0	7	52	0	18	19	25	50	20	7	40	26	8	28	6	16	22	25	17	30	41	75	787.0
hsa-miR-671-3p	21	19	11	13	12	22	7	12	30	26	14	40	30	68	29	0	8	81	0	20	16	17	25	23	14	21	11	7	30	6	70	6	16	5	9	22	20	781.0
hsa-miR-6741-3p	9	17	32	15	12	19	45	14	36	21	24	40	22	25	19	0	3	72	2	16	22	6	36	28	8	28	12	5	17	4	76	11	6	13	11	14	20	760.0
hsa-miR-1296-5p	8	20	17	29	9	23	19	11	37	19	13	32	18	22	41	2	4	60	0	23	17	9	30	10	4	15	26	0	15	22	98	9	8	12	23	8	16	729.0
hsa-miR-6802-3p	6	13	22	15	11	6	65	21	30	25	36	21	4	28	18	0	2	40	0	26	14	4	32	25	21	28	18	6	25	12	22	24	13	14	35	20	25	727.0
