name	SRX2742138	SRX2742139	SRX2742130	SRX2742131	SRX2742132	SRX2742133	SRX2742134	SRX2742135	SRX2742136	SRX2742137	SRX2742158	SRX2742159	SRX2742152	SRX2742153	SRX2742150	SRX2742151	SRX2742156	SRX2742157	SRX2742154	SRX2742155	SRX2742129	SRX2742128	SRX2742127	SRX2742126	SRX2742125	SRX2742124	SRX2742123	SRX2742122	SRX2742149	SRX2742148	SRX2742161	SRX2742160	SRX2742166	SRX2742165	SRX2742164	SRX2742141	SRX2742140	SRX2742143	SRX2742142	SRX2742145	SRX2742144	SRX2742147	SRX2742146	SRX2742163	SRX2742162
hsa-miR-146b-5p	192	228	51	74	19	67	29	133	59	359	219	310	112	193	178	204	275	182	269	169	0	0	0	0	0	0	0	0	484	547	390	230	127	277	519	397	138	92	200	154	77	76	48	450	661	8186.5
hsa-miR-142-3p	153	117	51	76	3	28	34	201	41	143	510	785	173	142	730	329	297	271	147	128	0	0	0	0	0	0	0	0	106	631	421	52	74	170	589	32	105	111	78	153	57	61	72	323	663	8057.0
hsa-miR-185-3p	70	60	34	43	61	42	56	33	170	136	203	318	204	188	550	564	222	127	930	392	0	0	0	0	0	0	0	0	124	240	304	207	474	260	342	344	289	44	101	188	22	28	58	251	265	7944.0
hsa-miR-3940-3p	62	112	48	83	61	123	115	58	94	128	113	151	189	396	133	493	107	149	1303	270	0	0	0	0	0	0	0	0	169	327	145	79	163	359	171	513	266	127	201	166	25	77	23	305	93	7397.0
hsa-miR-10a-5p	206	193	50	85	7	90	20	134	13	377	437	647	102	183	96	276	174	190	624	84	0	0	0	0	0	0	0	0	437	341	230	176	44	279	248	151	61	132	109	129	12	97	45	347	286	7112.0
hsa-miR-625-3p	78	102	19	114	18	78	57	112	193	265	191	358	91	211	344	315	235	260	681	171	0	0	0	0	0	0	0	0	113	228	157	140	360	229	398	459	142	105	99	188	40	64	40	194	189	7038.0
hsa-miR-210-3p	116	63	25	59	55	62	97	46	169	193	220	315	93	34	279	240	149	94	577	361	0	0	0	0	0	0	0	0	76	145	471	88	334	155	469	396	270	23	137	188	55	104	37	507	177	6879.0
hsa-miR-222-3p	83	94	26	64	10	40	31	34	143	138	156	230	139	103	206	429	131	126	489	150	0	0	0	0	0	0	0	0	226	150	408	151	277	264	276	808	121	36	129	73	26	37	28	465	258	6555.0
hsa-miR-29a-3p	152	90	41	49	11	72	26	59	94	234	267	389	113	71	231	256	267	103	369	132	0	0	0	0	0	0	0	0	235	297	361	93	170	247	302	327	141	90	131	99	48	61	62	221	515	6424.68
hsa-miR-500a-3p	71	92	33	81	44	123	101	68	102	138	174	229	123	92	94	162	138	127	576	182	0	0	0	0	0	0	0	0	181	193	345	95	262	299	237	415	140	31	176	188	25	89	38	544	189	6187.35
hsa-miR-23b-3p	86	139	40	111	12	101	77	78	72	178	201	260	60	142	69	174	99	174	403	142	0	0	0	0	0	0	0	0	258	202	323	96	169	431	129	376	124	70	198	108	27	147	28	373	175	5842.0
hsa-miR-326	79	123	22	65	68	98	36	51	45	158	258	329	78	165	104	220	95	248	993	314	0	0	0	0	0	0	0	0	105	83	249	121	97	243	68	211	298	37	95	110	29	74	20	322	88	5799.0
hsa-miR-339-3p	48	88	43	47	28	57	46	56	52	135	142	245	94	138	135	227	164	94	830	292	0	0	0	0	0	0	0	0	110	327	128	111	180	205	320	395	225	50	62	148	22	44	42	257	160	5747.0
hsa-miR-96-5p	189	113	29	42	3	57	53	65	54	212	153	222	100	25	215	184	202	33	41	137	0	0	0	0	0	0	0	0	99	308	506	56	125	258	250	229	125	38	251	70	36	65	36	809	280	5670.0
hsa-miR-151a-5p	97	141	33	77	22	132	47	85	80	198	151	184	102	79	180	188	205	223	164	123	0	0	0	0	0	0	0	0	166	155	247	195	165	233	224	350	116	41	118	96	45	184	36	511	218	5598.0
hsa-miR-99b-5p	77	107	40	28	21	64	21	34	46	149	141	253	74	117	171	289	105	255	449	190	0	0	0	0	0	0	0	0	309	356	186	240	134	350	157	242	121	88	71	65	18	51	50	219	214	5502.0
hsa-miR-550a-3p	85	89	15	53	24	94	32	53	57	180	156	217	40	116	170	230	169	204	738	131	0	0	0	0	0	0	0	0	137	422	241	136	181	227	164	244	103	54	83	112	50	114	19	178	139	5456.999999999999
hsa-miR-425-3p	116	78	29	47	18	73	55	42	74	187	207	277	112	46	140	206	134	90	561	130	0	0	0	0	0	0	0	0	107	147	260	88	201	212	304	357	133	35	108	119	26	69	37	362	255	5442.0
hsa-miR-340-3p	129	143	24	69	3	39	30	114	45	178	308	476	64	179	188	179	321	110	343	59	0	0	0	0	0	0	0	0	158	261	129	56	148	158	152	308	44	122	53	120	66	67	23	95	291	5252.0
hsa-let-7c-5p	68	59	23	45	7	14	16	18	109	202	121	151	117	62	168	225	152	109	138	204	0	0	0	0	0	0	0	0	182	236	267	121	189	172	412	363	197	39	92	121	13	25	67	329	273	5104.81
hsa-miR-502-3p	26	76	29	74	25	77	72	75	82	94	131	165	96	61	59	148	119	119	492	145	0	0	0	0	0	0	0	0	188	184	297	69	194	294	152	397	102	30	116	134	6	62	24	451	121	4976.35
hsa-miR-1306-5p	21	54	25	73	38	65	61	61	114	96	61	84	114	252	215	253	153	129	587	158	0	0	0	0	0	0	0	0	164	151	87	58	220	251	210	446	116	56	109	173	17	63	31	111	81	4958.0
hsa-miR-15a-5p	133	40	20	72	0	69	42	79	43	173	113	160	66	25	181	184	208	131	21	80	0	0	0	0	0	0	0	0	130	218	489	77	73	123	393	170	56	33	234	163	43	58	45	410	331	4886.0
hsa-miR-320b	20	73	34	59	131	94	42	29	37	68	129	169	302	141	64	387	37	160	608	198	0	0	0	0	0	0	0	0	93	92	199	50	89	166	75	192	172	14	116	174	14	31	3	400	67	4729.04
hsa-miR-503-5p	73	35	26	7	2	69	35	23	77	181	117	151	137	129	181	271	177	166	291	113	0	0	0	0	0	0	0	0	160	243	108	99	234	38	193	189	61	33	110	139	14	36	44	369	336	4667.0
hsa-miR-145-5p	78	151	25	84	69	96	24	24	13	182	114	175	20	60	61	91	45	107	711	157	0	0	0	0	0	0	0	0	125	79	340	100	31	236	135	297	164	43	213	89	43	76	19	349	37	4663.0
hsa-miR-664a-3p	61	57	19	78	17	165	132	162	10	87	56	92	17	260	87	72	97	127	278	84	0	0	0	0	0	0	0	0	387	91	157	69	40	451	112	346	51	28	213	36	13	164	19	283	53	4471.0
hsa-miR-10399-3p	134	83	46	34	12	76	15	48	34	164	133	170	32	165	151	129	183	121	256	100	0	0	0	0	0	0	0	0	211	123	130	163	129	111	181	247	78	56	49	60	28	61	47	518	120	4398.0
hsa-miR-106a-5p	80	43	14	23	2	40	57	49	45	209	66	100	67	26	192	135	274	57	112	46	0	0	0	0	0	0	0	0	79	192	192	130	92	112	719	107	44	25	99	150	23	35	105	359	228	4321.51
hsa-miR-4685-3p	39	75	14	65	38	123	60	94	65	74	62	66	126	270	223	218	136	268	274	181	0	0	0	0	0	0	0	0	182	177	110	94	205	268	43	203	82	25	49	51	4	59	18	132	60	4233.0
hsa-miR-10395-3p	66	138	6	36	24	38	26	52	90	81	102	148	262	260	129	195	218	255	113	225	0	0	0	0	0	0	0	0	121	277	142	203	129	89	54	131	105	75	28	103	17	11	9	44	104	4106.0
hsa-miR-148b-5p	115	71	31	25	4	42	16	41	30	124	166	236	49	88	131	136	141	62	125	32	0	0	0	0	0	0	0	0	172	152	217	81	142	96	323	331	26	26	61	76	40	67	23	362	226	4086.0
hsa-miR-30a-5p	35	10	3	4	0	11	2	9	25	70	81	130	149	66	116	109	227	96	356	51	0	0	0	0	0	0	0	0	60	114	93	184	103	244	423	33	8	21	7	65	2	113	25	897	115	4054.0
hsa-miR-340-5p	82	88	38	49	5	71	61	114	49	124	142	184	134	55	182	155	139	116	104	57	0	0	0	0	0	0	0	0	64	168	198	36	74	154	216	76	50	36	175	96	44	50	26	392	249	4053.0
hsa-miR-424-3p	23	54	34	6	0	73	35	23	89	120	95	114	233	114	129	306	82	98	390	76	0	0	0	0	0	0	0	0	114	202	74	31	189	38	63	320	37	37	111	102	5	33	18	238	212	3918.0
hsa-miR-181b-5p	30	77	16	28	15	21	21	8	69	100	119	165	87	64	268	144	96	92	389	217	0	0	0	0	0	0	0	0	76	110	186	74	189	103	188	205	144	19	66	81	7	27	43	129	176	3848.5
hsa-miR-7706	49	34	31	38	35	51	41	21	50	114	132	230	105	142	146	350	134	46	296	104	0	0	0	0	0	0	0	0	38	84	116	126	217	160	105	207	57	16	39	61	10	24	22	80	64	3575.0
hsa-miR-29b-3p	79	81	45	33	0	49	39	87	0	88	202	237	62	62	173	138	102	58	135	40	0	0	0	0	0	0	0	0	111	286	307	29	24	105	110	64	19	35	131	76	33	43	31	168	244	3529.3999999999996
hsa-miR-454-5p	105	62	17	18	4	32	18	35	65	119	200	243	47	64	233	126	295	76	253	20	0	0	0	0	0	0	0	0	80	187	60	42	165	85	137	99	27	75	34	78	45	49	33	49	247	3524.0
hsa-miR-28-3p	56	88	19	24	6	58	23	20	28	75	127	195	47	176	136	97	69	116	188	175	0	0	0	0	0	0	0	0	157	133	191	94	102	122	118	189	107	29	61	43	23	52	27	234	109	3514.0
hsa-miR-324-5p	74	57	24	31	11	84	29	38	35	92	93	147	54	39	98	157	58	90	329	138	0	0	0	0	0	0	0	0	130	54	269	100	78	93	173	172	121	15	48	51	11	73	32	305	101	3504.0
hsa-miR-130a-3p	89	70	28	24	2	51	23	35	15	92	92	151	60	35	89	178	103	120	82	56	0	0	0	0	0	0	0	0	110	121	257	102	38	60	329	225	38	12	101	67	31	33	37	326	205	3487.0
hsa-miR-143-3p	56	69	10	52	4	40	42	43	14	77	224	319	40	68	136	93	88	152	64	49	0	0	0	0	0	0	0	0	51	120	346	127	36	100	81	146	47	30	134	116	51	23	31	203	198	3480.0
hsa-miR-660-5p	131	50	23	44	0	41	58	61	44	137	128	229	66	21	150	125	180	49	58	35	0	0	0	0	0	0	0	0	69	124	197	40	84	109	234	90	27	31	104	110	30	44	38	221	259	3441.0
hsa-miR-378a-5p	50	88	14	38	31	61	16	32	69	102	124	158	35	70	116	156	106	77	389	130	0	0	0	0	0	0	0	0	75	67	132	34	88	124	63	235	107	48	47	83	27	52	18	108	81	3251.0
hsa-miR-155-5p	60	73	10	38	6	49	26	42	56	138	90	87	130	66	79	103	93	89	132	71	0	0	0	0	0	0	0	0	137	165	198	41	134	112	103	190	64	23	116	61	24	53	12	187	178	3236.0
hsa-miR-345-5p	31	47	9	25	12	25	30	30	42	42	114	182	42	40	84	119	64	55	340	112	0	0	0	0	0	0	0	0	82	64	169	69	102	109	132	223	114	18	43	34	9	56	11	239	148	3067.0
hsa-miR-126-5p	84	30	16	18	2	18	11	23	21	112	93	130	77	10	190	102	153	83	2	70	0	0	0	0	0	0	0	0	46	86	253	27	45	51	310	52	60	16	57	69	16	28	49	132	334	2876.0
hsa-miR-589-5p	80	65	12	19	14	43	41	27	24	71	94	111	59	131	166	99	109	71	167	75	0	0	0	0	0	0	0	0	59	116	91	148	89	134	141	115	50	9	60	40	20	24	21	192	88	2875.0
hsa-miR-6511a-3p	18	33	14	41	25	84	46	47	39	42	56	66	87	196	171	170	78	142	255	175	0	0	0	0	0	0	0	0	35	84	127	80	105	94	63	76	104	26	39	89	4	17	17	78	29	2852.16
hsa-miR-409-3p	77	33	43	4	47	37	2	5	5	169	173	225	22	37	13	20	11	39	256	270	0	0	0	0	0	0	0	0	31	28	48	42	37	407	109	142	250	62	14	46	4	15	16	40	35	2814.0
hsa-let-7a-3p	47	64	25	37	2	5	13	44	57	76	287	365	51	27	124	78	161	41	121	41	0	0	0	0	0	0	0	0	49	120	66	10	85	75	62	65	47	56	41	49	24	18	19	36	312	2800.0
hsa-miR-505-3p	38	86	4	25	16	18	10	13	113	83	124	151	30	46	72	82	95	55	234	73	0	0	0	0	0	0	0	0	43	87	132	46	210	92	57	253	66	48	23	66	24	13	21	51	85	2685.0
hsa-miR-454-3p	65	21	18	11	0	32	10	49	13	113	66	85	32	30	106	99	116	26	13	21	0	0	0	0	0	0	0	0	100	141	92	32	52	45	441	59	22	34	80	76	21	38	39	305	173	2676.0
hsa-miR-4742-3p	72	51	12	17	9	52	11	17	53	85	69	82	12	69	195	124	101	49	207	61	0	0	0	0	0	0	0	0	78	202	90	52	95	78	95	122	48	45	40	44	27	41	36	70	145	2656.0
hsa-miR-296-5p	28	22	9	45	9	13	21	6	47	73	84	87	79	27	115	154	88	43	360	108	0	0	0	0	0	0	0	0	44	124	73	29	87	172	132	109	96	30	59	73	21	15	15	71	55	2623.0
hsa-miR-29c-5p	56	50	8	29	19	29	15	30	10	49	155	227	20	52	54	103	38	50	240	96	0	0	0	0	0	0	0	0	69	85	191	62	24	75	44	134	99	21	46	36	18	38	13	198	92	2575.0
hsa-miR-4433b-5p	7	18	7	34	18	53	12	20	41	39	113	159	53	145	47	73	17	144	396	134	0	0	0	0	0	0	0	0	52	44	65	59	80	181	28	109	81	45	17	59	6	8	2	93	27	2486.0
hsa-miR-548o-3p	67	60	9	23	7	38	6	45	26	93	65	105	27	56	83	84	104	42	110	23	0	0	0	0	0	0	0	0	100	83	59	46	57	123	167	163	27	34	60	60	16	39	25	119	92	2343.34
hsa-miR-127-3p	48	27	23	3	25	28	5	5	5	130	149	187	19	33	3	16	6	17	171	306	0	0	0	0	0	0	0	0	9	24	71	45	15	222	79	114	305	26	42	39	7	5	11	42	28	2290.0
hsa-miR-378c	40	22	9	19	38	29	40	12	40	56	54	89	42	20	86	105	64	46	158	143	0	0	0	0	0	0	0	0	31	41	181	48	94	53	95	75	90	5	62	53	9	28	14	202	67	2258.5
hsa-miR-3605-3p	24	27	4	15	26	17	10	4	69	35	79	79	35	33	214	114	87	77	212	95	0	0	0	0	0	0	0	0	39	40	106	41	150	43	85	103	83	35	21	47	5	25	18	70	52	2219.0
hsa-miR-330-5p	41	63	8	33	10	34	17	16	28	64	63	77	35	78	100	123	63	67	135	63	0	0	0	0	0	0	0	0	72	77	98	63	71	69	101	169	40	20	21	40	7	35	9	90	99	2199.0
hsa-miR-18b-3p	4	32	6	22	15	29	23	41	37	58	60	89	17	83	63	81	65	59	220	63	0	0	0	0	0	0	0	0	58	111	48	24	159	164	73	198	35	22	23	52	8	32	10	43	41	2166.5
hsa-let-7b-3p	40	54	0	32	10	35	12	28	50	62	90	123	32	58	59	40	102	51	319	40	0	0	0	0	0	0	0	0	57	114	46	21	97	106	24	152	42	44	30	29	12	29	14	25	75	2154.0
hsa-miR-361-5p	38	52	16	19	4	45	15	20	21	69	49	82	38	77	82	89	66	35	141	38	0	0	0	0	0	0	0	0	131	86	110	39	32	72	93	170	31	26	42	33	15	35	5	129	72	2117.0
hsa-miR-130b-3p	44	63	25	14	4	49	24	10	8	74	80	99	29	29	56	73	52	42	96	28	0	0	0	0	0	0	0	0	67	79	189	43	58	46	54	132	44	23	64	51	6	34	12	188	83	2072.0
hsa-miR-139-5p	25	58	8	39	2	23	10	58	41	58	130	181	43	63	43	76	23	48	148	11	0	0	0	0	0	0	0	0	53	108	54	50	95	137	18	101	15	29	25	40	8	43	20	31	112	2027.0
hsa-miR-6511b-3p	7	15	9	30	14	43	26	39	25	25	38	53	70	152	104	87	84	112	169	108	0	0	0	0	0	0	0	0	53	71	76	45	45	73	50	90	56	22	18	36	3	25	19	31	26	1949.0
hsa-miR-26b-3p	35	37	19	28	2	44	12	25	25	55	88	164	22	37	67	68	37	34	148	51	0	0	0	0	0	0	0	0	40	56	86	52	53	41	39	168	45	21	24	20	18	49	17	73	92	1892.0
hsa-miR-362-5p	59	22	7	18	14	19	41	18	42	62	75	100	26	14	49	29	67	25	132	70	0	0	0	0	0	0	0	0	31	41	174	42	67	30	115	77	76	10	43	43	10	39	12	63	96	1858.0
hsa-miR-636	20	21	8	21	13	17	13	9	25	61	37	53	70	95	116	182	61	53	132	89	0	0	0	0	0	0	0	0	35	55	48	36	73	22	65	72	64	33	15	68	6	8	13	38	44	1791.0
hsa-miR-3173-5p	18	27	4	25	16	21	14	13	45	41	56	65	38	49	128	79	86	49	153	63	0	0	0	0	0	0	0	0	33	97	31	26	99	64	72	102	45	20	20	60	7	13	11	29	62	1781.0
hsa-miR-1304-3p	30	18	9	15	6	22	7	7	32	51	81	144	10	15	79	38	83	23	189	39	0	0	0	0	0	0	0	0	48	49	44	19	100	41	54	89	43	11	36	48	10	24	10	46	44	1614.0
hsa-miR-374a-5p	57	10	14	12	0	15	10	44	5	69	34	62	29	19	82	45	65	9	5	4	0	0	0	0	0	0	0	0	37	128	105	16	15	34	203	10	2	8	51	38	11	25	11	152	172	1608.0
hsa-miR-618	41	80	6	6	3	21	0	10	20	43	67	83	5	33	63	72	51	39	70	62	0	0	0	0	0	0	0	0	35	65	93	17	27	0	33	85	60	30	41	34	45	10	18	40	78	1486.0
hsa-miR-148a-5p	26	30	11	14	5	18	11	20	15	38	56	94	26	26	50	32	35	26	127	48	0	0	0	0	0	0	0	0	52	45	53	35	45	77	55	96	37	14	19	29	19	22	6	93	77	1482.0
hsa-miR-22-5p	9	22	7	37	27	16	6	28	28	35	51	50	34	9	99	126	52	29	108	47	0	0	0	0	0	0	0	0	23	45	69	46	56	22	39	115	48	8	11	44	6	8	7	23	79	1469.0
hsa-miR-4659a-3p	14	34	10	15	0	6	2	7	29	39	50	72	26	31	78	52	37	38	93	49	0	0	0	0	0	0	0	0	60	80	32	20	52	58	40	186	33	38	19	63	8	8	12	52	31	1468.5
hsa-miR-6842-3p	24	26	9	18	12	13	8	14	14	27	44	63	22	81	50	63	30	55	146	49	0	0	0	0	0	0	0	0	33	63	38	50	58	67	28	143	24	14	11	26	9	21	10	58	40	1461.0
hsa-miR-19a-3p	24	14	4	12	0	6	2	37	4	18	100	127	63	6	128	57	49	67	21	9	0	0	0	0	0	0	0	0	10	52	80	4	18	32	117	0	11	17	20	26	14	9	7	34	258	1456.67
hsa-miR-550a-5p	3	11	3	13	2	7	11	9	32	31	17	30	11	52	14	94	28	37	113	36	0	0	0	0	0	0	0	0	57	221	40	18	91	104	52	116	12	13	9	45	5	9	5	51	17	1420.4999999999998
hsa-miR-1843	20	14	8	17	7	20	18	11	7	33	6	21	26	50	60	121	26	27	5	33	0	0	0	0	0	0	0	0	91	72	31	48	32	80	99	121	15	5	45	29	2	10	14	146	44	1414.0
hsa-miR-181a-3p	23	46	11	12	9	20	8	10	6	34	65	109	29	40	46	36	35	43	95	40	0	0	0	0	0	0	0	0	17	33	81	27	26	57	15	48	49	13	18	27	20	13	5	41	63	1270.0
hsa-miR-4508	7	6	2	42	22	11	24	10	13	43	20	25	83	21	29	88	31	46	56	121	0	0	0	0	0	0	0	0	27	9	46	58	41	68	66	41	50	2	23	41	0	3	5	66	17	1262.5
hsa-miR-421	26	28	12	5	0	21	8	25	11	47	26	49	19	25	37	25	42	36	90	14	0	0	0	0	0	0	0	0	46	74	107	24	21	70	83	37	8	10	37	30	11	19	8	52	59	1242.0
hsa-miR-3200-3p	31	21	12	3	3	27	17	12	19	20	52	67	17	14	64	77	25	25	68	15	0	0	0	0	0	0	0	0	9	34	89	46	35	33	54	53	16	10	29	23	11	14	4	88	27	1164.0
hsa-miR-199b-5p	23	33	6	10	0	9	8	2	2	39	111	189	12	33	28	23	37	40	31	10	0	0	0	0	0	0	0	0	13	52	90	23	6	25	25	19	13	5	47	11	35	8	0	52	67	1135.6799999999998
hsa-miR-193a-5p	13	13	6	3	3	8	6	5	9	28	40	46	45	37	88	96	62	49	75	43	0	0	0	0	0	0	0	0	9	39	40	46	60	26	28	40	16	0	9	40	3	6	12	30	24	1103.0
hsa-miR-152-3p	23	23	9	8	0	15	8	10	4	15	48	66	14	32	34	29	44	35	60	15	0	0	0	0	0	0	0	0	30	36	71	41	7	41	37	51	14	4	21	16	4	10	7	97	101	1080.0
hsa-miR-769-5p	20	26	4	12	5	14	6	3	15	23	58	77	18	30	35	28	22	47	106	33	0	0	0	0	0	0	0	0	11	27	74	31	34	20	38	43	29	17	11	25	9	15	0	61	50	1077.0
hsa-miR-6803-3p	6	10	5	11	9	16	15	8	13	16	20	19	22	39	77	60	36	57	97	70	0	0	0	0	0	0	0	0	37	27	45	25	46	39	38	42	44	6	8	22	0	7	9	35	23	1059.0
hsa-miR-200c-3p	8	11	2	5	0	15	6	6	19	27	26	58	51	24	42	54	38	39	41	31	0	0	0	0	0	0	0	0	27	58	63	29	52	24	73	38	10	6	11	18	6	3	9	44	50	1024.0
hsa-miR-1249-3p	5	7	2	11	13	15	31	25	26	15	21	32	26	70	40	21	38	44	50	41	0	0	0	0	0	0	0	0	39	51	32	15	85	99	10	35	10	3	15	37	2	11	0	20	12	1009.0
hsa-miR-4443	2	17	3	7	21	10	3	4	21	17	13	8	57	50	6	35	23	127	128	5	0	0	0	0	0	0	0	0	38	58	28	3	42	49	10	92	4	0	18	35	5	2	0	43	13	997.0
hsa-miR-335-3p	14	50	7	10	0	15	4	27	4	15	43	61	11	50	39	34	42	18	51	15	0	0	0	0	0	0	0	0	41	92	31	6	24	60	23	44	4	14	17	16	5	9	0	45	45	986.0
hsa-miR-10401-3p	18	4	2	3	6	9	17	16	3	13	4	9	47	47	58	95	30	58	84	57	0	0	0	0	0	0	0	0	35	41	59	21	29	26	8	37	40	4	9	19	0	7	4	50	12	980.9600000000002
hsa-let-7e-5p	11	3	2	7	0	2	3	2	18	32	20	36	24	17	46	41	31	13	25	36	0	0	0	0	0	0	0	0	39	56	36	19	42	40	81	71	26	8	15	20	3	5	11	70	67	974.45
hsa-miR-3074-5p	18	12	4	8	4	20	8	10	31	14	25	40	12	43	26	30	27	21	77	29	0	0	0	0	0	0	0	0	20	40	47	34	77	38	21	77	18	12	11	18	2	4	8	40	48	974.0
hsa-miR-1307-5p	13	3	7	16	2	6	0	7	6	33	32	37	13	28	35	83	22	27	127	47	0	0	0	0	0	0	0	0	18	23	54	25	31	37	11	42	35	0	8	22	7	18	5	42	35	957.0
hsa-miR-4306	0	18	5	33	6	25	11	20	7	20	20	17	3	39	6	60	8	24	73	16	0	0	0	0	0	0	0	0	54	66	11	9	25	68	10	109	14	12	30	37	3	7	2	70	11	939.5
hsa-miR-4732-5p	2	20	6	16	5	27	19	13	6	12	30	28	54	44	43	118	9	23	71	19	0	0	0	0	0	0	0	0	18	19	37	23	12	51	10	31	15	2	19	46	0	4	2	70	13	937.0
hsa-miR-29b-2-5p	9	9	0	2	0	19	7	3	17	21	23	31	12	10	67	54	26	12	25	43	0	0	0	0	0	0	0	0	20	37	99	15	32	21	68	45	20	5	22	36	3	0	20	45	50	928.0
hsa-miR-17-3p	4	9	2	10	2	10	11	15	18	16	25	37	16	7	50	51	19	16	46	47	0	0	0	0	0	0	0	0	6	34	40	16	29	24	87	44	32	12	18	22	0	7	11	55	52	900.0
hsa-let-7i-3p	12	9	7	7	3	9	7	6	12	13	12	37	19	4	42	70	34	38	60	25	0	0	0	0	0	0	0	0	20	27	68	17	22	12	31	56	23	2	17	9	8	8	5	96	33	880.0
hsa-miR-151b	13	19	3	10	3	17	7	7	14	26	28	23	20	14	37	27	34	42	30	24	0	0	0	0	0	0	0	0	29	20	37	29	21	45	35	71	23	6	21	15	6	23	6	72	35	879.0
hsa-miR-766-3p	2	13	2	6	2	13	7	26	2	14	17	13	13	67	20	45	15	53	98	31	0	0	0	0	0	0	0	0	64	29	23	17	13	71	18	65	17	3	20	6	0	10	2	44	6	867.0
hsa-miR-140-5p	11	9	0	5	0	0	11	20	9	19	32	48	10	6	70	43	45	20	9	14	0	0	0	0	0	0	0	0	10	45	41	13	34	25	103	28	7	5	20	30	2	2	16	25	64	851.0
hsa-miR-28-5p	24	16	0	9	0	11	5	6	0	26	41	52	8	15	24	25	27	35	51	34	0	0	0	0	0	0	0	0	35	41	50	18	29	32	35	38	8	7	4	22	5	13	5	34	46	831.0
hsa-miR-5100	3	9	3	9	40	10	9	6	18	11	5	7	17	22	3	34	28	14	138	17	0	0	0	0	0	0	0	0	17	17	19	13	44	21	50	104	13	0	23	24	3	12	10	49	7	829.0
hsa-miR-330-3p	11	21	2	5	0	12	2	0	7	29	28	53	25	35	21	32	15	22	88	23	0	0	0	0	0	0	0	0	13	31	34	20	35	41	19	46	18	9	12	6	2	6	2	32	50	807.0
hsa-miR-342-5p	3	13	6	7	3	4	2	0	19	14	19	28	43	21	49	66	21	40	38	38	0	0	0	0	0	0	0	0	28	44	35	20	63	38	7	34	22	0	7	13	0	4	3	17	25	794.0
hsa-miR-671-3p	3	14	5	5	5	6	0	0	13	2	46	54	18	45	33	49	20	19	101	24	0	0	0	0	0	0	0	0	10	22	11	20	46	23	9	52	7	13	7	10	0	11	0	12	44	759.0
hsa-miR-6501-5p	7	6	2	2	2	8	12	2	6	8	15	8	14	17	34	21	11	16	51	64	0	0	0	0	0	0	0	0	20	24	17	25	23	27	23	40	43	0	5	21	0	6	5	152	6	743.0
hsa-miR-320c	0	9	1	9	18	13	9	5	8	16	22	15	47	18	12	56	3	22	114	25	0	0	0	0	0	0	0	0	12	22	38	7	14	25	5	35	37	4	13	18	0	0	0	63	13	726.8000000000002
hsa-miR-6513-3p	8	18	7	18	0	10	3	11	14	17	27	47	10	15	30	28	30	8	67	10	0	0	0	0	0	0	0	0	20	31	20	6	33	22	27	70	0	6	12	11	8	9	2	14	48	717.0
hsa-miR-370-3p	4	0	6	4	9	9	2	4	0	25	31	52	7	11	3	9	2	7	72	98	0	0	0	0	0	0	0	0	3	5	10	17	5	100	42	31	80	0	5	18	2	0	7	9	6	695.0
hsa-miR-30a-3p	8	9	2	3	0	4	0	7	5	24	50	66	18	20	23	26	18	28	26	17	0	0	0	0	0	0	0	0	10	30	27	13	25	21	22	44	14	13	4	10	4	5	4	41	58	689.0
hsa-miR-1226-3p	10	11	2	6	2	11	10	5	3	20	3	17	20	29	22	29	35	35	42	19	0	0	0	0	0	0	0	0	19	48	10	5	18	41	21	44	11	7	17	20	2	25	5	51	7	682.0
hsa-miR-4473	12	22	3	6	0	13	3	6	5	27	24	24	11	38	20	44	16	7	51	7	0	0	0	0	0	0	0	0	18	36	35	11	17	21	25	53	13	8	15	16	7	6	0	25	27	672.0
hsa-miR-323b-3p	22	6	3	2	14	15	3	2	3	37	52	66	4	9	3	3	6	12	73	47	0	0	0	0	0	0	0	0	13	10	12	7	9	74	26	32	41	11	5	11	0	8	9	14	6	670.0
hsa-let-7f-1-3p	17	26	3	12	0	12	2	23	11	27	44	67	8	19	25	20	36	13	37	5	0	0	0	0	0	0	0	0	9	37	16	2	26	21	11	24	9	7	3	17	4	9	2	12	49	665.0
hsa-miR-664b-3p	9	14	7	13	3	20	7	10	3	14	10	8	0	27	5	24	9	12	87	31	0	0	0	0	0	0	0	0	33	18	21	11	13	41	23	59	15	7	17	11	0	6	0	36	4	628.0
hsa-miR-378d	8	7	3	4	12	7	7	8	13	15	19	23	12	8	26	35	17	16	49	51	0	0	0	0	0	0	0	0	11	10	39	10	30	11	20	31	27	3	11	17	2	5	3	41	19	617.0
hsa-miR-18a-5p	9	2	0	6	0	5	11	22	4	12	10	12	4	7	45	53	41	17	2	7	0	0	0	0	0	0	0	0	2	24	26	21	8	22	84	8	0	0	18	18	2	6	7	60	27	602.0
hsa-miR-3688-3p	9	15	0	6	2	9	10	6	5	23	32	31	8	22	9	27	18	19	60	15	0	0	0	0	0	0	0	0	23	21	28	16	12	25	9	24	2	4	17	10	2	18	2	47	16	602.0
hsa-miR-6806-3p	16	13	7	4	0	19	6	9	5	20	30	24	11	52	23	22	16	11	32	19	0	0	0	0	0	0	0	0	15	26	24	17	15	12	5	28	13	11	7	6	3	10	2	50	13	596.0
