name	SRX3848837	SRX3848836	SRX3848835	SRX3848834	SRX3848833	SRX3848832	SRX3848831	SRX3848830	SRX3848839	SRX3848838	SRX3848843	SRX3848840	SRX3848841	SRX3848846	SRX3848847	SRX3848844	SRX3848845	SRX3848848	SRX3848849	SRX3848792	SRX3848793	SRX3848790	SRX3848791	SRX3848796	SRX3848797	SRX3848794	SRX3848795	SRX3848798	SRX3848799	SRX3848851	SRX3848850	SRX3848853	SRX3848852	SRX3848855	SRX3848854	SRX3848857	SRX3848856	SRX3848859	SRX3848858	SRX3848781	SRX3848780	SRX3848783	SRX3848782	SRX3848785	SRX3848784	SRX3848787	SRX3848786	SRX3848789	SRX3848788	SRX3848864	SRX3848865	SRX3848866	SRX3848867	SRX3848860	SRX3848861	SRX3848862	SRX3848863	SRX3848868	SRX3848869	SRX3848883	SRX3848880	SRX3848881	SRX3848879	SRX3848878	SRX3848873	SRX3848872	SRX3848871	SRX3848870	SRX3848877	SRX3848876	SRX3848875	SRX3848874	SRX3848808	SRX3848809	SRX3848806	SRX3848807	SRX3848804	SRX3848805	SRX3848803	SRX3848800	SRX3848801	SRX3848819	SRX3848818	SRX3848815	SRX3848814	SRX3848817	SRX3848816	SRX3848811	SRX3848810	SRX3848813	SRX3848812	SRX3848820	SRX3848821	SRX3848822	SRX3848823	SRX3848824	SRX3848825	SRX3848826	SRX3848827	SRX3848828	SRX3848829
hsa-miR-675-3p	25	6	0	0	3	7	28	29	0	2	0	0	5	0	0	0	0	0	0	0	4	0	2	25	0	2	0	0	0	0	0	0	0	6180	0	4302	704	3721	3962	37	428	274	1011	49	2316	175	279	109	1086	83	2	0	39	211	308	1435	36	5	0	8250	15632	2560	589	3065	5634	0	0	35	15738	6733	13919	10433	143	14	64	22	27	11	3	91	20	43	16	9	0	183	61	28	0	0	6	73	8	0	36	0	19	4	13	42	0	110414.0
hsa-miR-433-3p	464	543	57	112	280	2620	1420	1084	466	18708	4	129	4	0	4	7	8	0	2	3	2	0	2	6	0	0	0	59	41	5	2	2	2	7813	21	8031	1399	6499	4547	207	1506	4857	2995	513	5089	839	3472	5640	2271	371	0	175	160	484	928	4141	109	362	22	964	596	153	115	109	419	125	96	206	589	521	581	255	237	1241	3163	103	44	32	20	177	1066	816	63	236	57	619	526	156	46	39	1254	3653	184	6	40	328	576	93	169	852	209	109221.0
hsa-miR-7706	2523	2164	234	1134	2073	31822	188	156	1782	42003	6	982	34	0	0	0	0	0	0	0	0	9	9	3	0	14	5	974	1064	4	0	0	0	250	0	161	79	113	158	8	16	197	66	18	579	64	66	154	252	21	5	261	69	23	145	121	18	335	443	138	140	46	6	49	53	16	6	111	80	77	127	64	191	115	394	102	158	75	450	121	146	358	60	38	863	260	345	144	653	554	726	404	30	166	90	4510	161	1875	49	193	3808	108757.0
hsa-miR-486-3p	124	57	15	10	24	81	3846	3079	35	473	22	16	7	2	0	4	0	0	2	2	4	0	14	3	0	3	4	20	20	5	4	2	0	6	6	6	13	11	3	129	667	3522	1633	218	7179	522	2526	1502	5469	0	0	6	54	3	66	14	2	18	7	94	184	43	3	4425	100	2	12	39	1873	72	124	146	6552	834	13557	1040	1971	1030	8	1098	3911	10291	672	244	8	3481	6517	821	8	3	920	8521	731	3	1811	206	1892	11	355	2964	52	108089.0
hsa-miR-214-3p	122	147	20	15	64	474	316	266	91	2947	6	56	2	0	2	2	0	2	0	0	2	2	0	13	0	2	0	25	28	6	2	2	0	11	2	29	59	38	22	336	683	4996	2196	576	8670	773	1476	1596	11130	22	35	264	292	27	34	59	5	779	65	8032	5966	1253	582	7181	3466	313	263	451	17865	2656	3600	3226	641	99	1533	215	367	274	19	715	281	893	82	74	33	1189	1842	135	22	23	82	828	117	9	668	214	59	48	309	615	142	105171.0
hsa-miR-429	5249	3120	2111	1005	1372	1364	11	45	2712	407	590	5771	506	12	145	21	25	3	16	8269	9175	1315	996	35559	1840	8366	3338	46	37	20	14	13	6	176	67	234	281	303	94	24	12	20	35	4	205	31	26	38	198	11	2	0	19	162	179	241	22	0	0	2882	98	101	77	483	488	15	5	12	195	1325	67	347	85	24	39	19	37	84	58	63	27	11	13	24	67	24	110	18	56	33	0	39	9	18	703	367	53	450	16	404	347	105156.0
hsa-miR-130b-3p	695	311	139	101	181	1201	1819	5157	408	8471	2	480	17	0	0	0	0	0	0	31	105	59	10	327	23	207	2	27	36	3	0	0	0	218	2	168	107	205	130	258	1564	5166	2812	364	2062	2191	3636	11418	3311	16	0	15	128	18	15	87	7	93	5	615	1142	382	78	1135	617	24	30	63	1118	624	800	1235	573	6075	2235	230	269	146	17	516	2304	2155	81	163	24	734	2399	174	20	11	662	2103	1268	8	401	166	7223	50	558	11918	115	104268.5
hsa-miR-330-3p	1502	833	204	298	383	2836	4961	6010	698	8794	4	1045	60	4	5	4	9	0	2	8	37	8	3	73	2	40	4	144	102	3	0	0	0	291	10	286	78	225	237	93	1021	2634	1989	154	1005	926	1544	5528	407	23	9	36	74	21	68	153	2	122	47	399	179	13	18	122	131	36	26	74	295	297	179	107	568	4195	2708	370	505	399	46	1256	5833	4701	435	325	99	1492	1836	769	76	58	3334	6153	633	22	336	549	7956	189	699	11013	428	103918.0
hsa-miR-891a-5p	170	42	21	16	0	10	0	18	20	11	9	42	0	4	19	16	7	4	4	3100	22598	6178	1856	35883	3009	26127	1296	45	68	14	2	4	0	148	30	69	172	88	43	0	2	15	0	0	2	0	0	0	0	2	19	21	2	10	65	144	13	24	6	62	104	82	0	41	37	0	0	18	36	60	40	16	84	9	0	74	148	45	6	21	11	2	15	55	50	4	13	16	38	18	0	2	0	11	13	32	22	52	0	13	51	102769.0
hsa-miR-660-5p	2903	1493	594	386	703	2730	531	1794	2566	13380	34	4880	125	0	2	0	0	0	4	128	354	86	34	994	84	276	22	141	112	0	0	0	0	467	2	334	186	436	320	216	1156	2934	1697	183	4543	2323	3621	2309	6215	79	5	181	254	90	149	232	11	503	63	709	715	324	73	2503	777	200	148	309	2068	926	521	1338	1379	1316	1688	460	619	437	73	838	698	1260	139	107	184	933	1972	225	139	70	70	1181	974	29	1755	570	2563	276	602	5728	462	100223.0
hsa-miR-323b-3p	348	299	27	51	158	1654	1023	1370	284	11103	2	76	2	0	0	3	0	0	2	4	10	9	6	14	0	14	1	47	28	0	0	0	0	351	2	711	384	278	479	191	4271	9395	7434	658	2848	1481	5803	10623	533	40	2	137	108	58	152	383	9	99	15	1558	1478	512	77	187	608	34	36	82	1213	906	1276	1174	472	3784	4787	116	46	65	17	204	739	1397	78	334	34	511	768	141	28	23	1420	2448	253	10	228	262	1636	83	241	5988	157	98383.5
hsa-miR-628-3p	3665	1631	665	185	466	850	4325	7772	954	311	20	1799	171	2	6	0	0	0	2	21	16	7	5	110	3	78	4	16	3	0	0	2	0	72	8	85	21	103	35	110	1366	2222	1871	154	662	1270	1331	4828	606	0	3	13	65	0	5	68	0	28	16	147	241	34	12	634	212	14	23	63	593	187	116	139	742	9520	2562	111	272	286	0	762	4896	3716	167	68	5	1123	1789	81	12	0	1181	5472	451	0	252	25	9827	38	333	14197	44	98378.0
hsa-miR-107	407	226	107	45	116	409	1652	4688	438	2114	19	547	13	1	2	5	5	1	2	457	614	212	41	1503	110	1216	228	8	14	3	1	1	1	43	7	57	21	36	30	246	2822	4968	2851	159	2338	1816	3614	5644	4265	4	2	31	60	8	27	32	1	97	16	224	302	123	31	6448	256	35	21	49	1983	285	170	697	2888	3880	4218	790	921	564	4	776	1760	1981	135	170	9	738	2783	159	19	6	53	2774	1807	3	1731	96	5042	30	262	8363	21	97009.98000000001
hsa-miR-361-3p	3863	1446	433	430	879	2418	2008	2726	1262	17950	77	1927	45	0	80	4	4	3	0	15	123	26	5	280	18	100	15	32	35	29	0	0	0	328	37	308	221	316	247	44	675	2311	1209	107	2491	545	1290	1987	568	63	2	78	80	50	196	254	51	134	37	2843	1056	177	176	327	698	105	40	120	1376	1327	1158	686	1529	2605	1955	706	879	587	29	1810	2417	1752	239	200	59	1274	1512	850	79	8	444	2402	731	11	569	132	5972	72	786	6606	96	96262.0
hsa-miR-136-3p	259	293	42	47	156	1427	545	2597	222	9877	0	74	3	0	0	2	0	0	0	11	5	2	11	24	5	24	0	69	65	0	0	0	0	586	2	536	136	282	371	396	4136	4041	4454	501	2912	6521	5313	14426	6256	26	0	82	89	89	80	496	8	115	32	1259	1391	360	144	1489	1716	87	32	87	2580	1420	721	1218	110	3850	1216	36	49	11	29	66	285	345	13	48	46	373	276	27	42	32	138	1335	382	12	96	339	1392	79	88	3167	239	94271.0
hsa-miR-17-5p	260	210	53	44	92	471	1485	5264	266	2932	6	446	14	0	1	3	3	0	0	40	117	14	3	251	23	89	11	8	5	0	0	0	0	38	0	58	10	72	59	187	3987	4692	4323	282	3304	3013	3678	8040	4562	7	4	7	53	18	8	25	0	29	4	109	219	48	33	566	128	5	0	33	426	76	114	103	823	3878	1691	180	355	166	3	386	2522	2070	30	89	8	652	1495	37	10	3	89	2061	3324	0	464	72	7652	17	737	13811	22	93062.84999999999
hsa-miR-144-5p	313	296	70	22	119	1111	568	2803	220	10037	33	67	2	0	0	4	0	0	2	0	2	0	0	10	0	0	0	42	24	0	0	0	0	5	0	13	0	12	3	832	1570	5446	2689	228	12084	2886	6987	5610	8432	0	0	7	53	0	19	3	0	26	15	26	96	6	4	2490	96	0	0	9	519	35	27	70	1531	894	3467	603	639	397	18	849	933	1335	173	55	25	1240	3098	55	30	20	43	1776	1333	6	2697	707	1105	95	427	2446	148	92188.0
hsa-miR-411-5p	1090	1056	122	173	582	5182	788	1567	873	35265	5	214	5	2	2	3	2	0	3	11	2	0	0	16	0	5	2	175	144	2	3	6	2	342	7	784	113	471	448	127	2304	2933	4508	219	729	2456	2767	9121	629	12	5	79	57	55	64	210	0	74	64	431	261	70	14	237	211	14	7	47	605	351	171	286	125	3400	904	44	23	21	51	74	419	348	33	48	151	342	294	25	124	112	111	1383	132	25	33	840	1007	301	71	1730	649	91405.0
hsa-miR-941	8630	2878	735	1275	1124	13000	775	905	2537	19134	17	4969	137	0	3	2	0	0	0	55	105	92	25	261	2	129	8	267	271	2	2	0	2	244	6	192	119	354	220	112	445	826	335	78	1985	580	765	1922	631	8	0	82	76	6	117	118	17	146	164	576	282	60	33	283	134	4	13	66	346	133	160	89	1185	1318	2119	180	525	610	126	1197	952	927	342	210	211	567	1023	542	157	175	1072	1386	101	49	324	1223	1436	526	444	1659	1032	90687.52
hsa-miR-145-3p	612	374	80	159	344	3597	501	2579	372	6330	7	258	10	0	0	0	0	0	0	0	2	0	0	9	0	0	0	74	88	2	0	0	0	7	3	2	18	19	5	492	283	2398	801	234	4710	1422	718	2917	11808	0	51	805	708	7	28	40	0	1878	48	1456	2582	246	31	4229	1644	970	623	1117	7673	1324	944	2294	473	1053	1516	181	464	428	39	443	461	1313	217	83	62	1166	1296	176	42	51	409	1105	221	5	1166	544	1541	130	320	4756	376	89970.0
hsa-miR-424-3p	522	421	59	67	206	2183	173	151	435	17840	0	122	11	0	0	0	0	0	0	0	7	0	4	32	0	5	0	73	58	0	0	0	0	141	0	124	26	88	49	25	342	872	600	63	1107	530	757	708	924	5	3	28	35	32	76	103	2	108	17	6025	7287	4045	706	1477	5016	33	13	35	8001	6945	6649	8969	335	138	505	61	128	111	25	180	91	237	36	21	63	191	475	70	67	27	81	175	95	14	77	195	287	99	144	340	169	88772.0
hsa-miR-1908-5p	634	458	60	194	333	3472	2945	5154	388	13817	6	239	8	0	0	2	4	0	2	0	17	0	32	20	0	6	0	41	59	6	0	0	0	19	0	6	2	21	5	93	619	2135	965	224	1611	940	1957	2631	1267	13	2	26	156	5	50	19	2	50	37	891	1456	325	109	186	527	27	5	45	834	843	1509	946	394	1582	1906	444	292	232	24	972	5184	2899	327	349	41	735	1234	1825	33	39	2748	5202	505	15	344	266	3279	104	355	8364	204	88353.0
hsa-miR-143-5p	30	12	24	3	26	7	487	2900	35	3	5	28	0	2	0	4	2	3	0	2	3	0	2	11	0	2	0	6	0	0	0	0	0	8	4	8	36	9	13	418	574	2909	1418	217	12819	964	911	2972	18221	10	9	81	155	9	28	31	18	256	10	2193	1892	288	73	3484	1251	148	130	190	6817	1448	1081	2461	151	1145	1332	504	751	259	0	610	409	1579	338	295	0	1017	1462	814	0	0	224	1020	200	0	444	11	1095	0	363	4102	15	85301.0
hsa-miR-331-3p	587	406	134	125	173	692	2229	5344	496	4474	35	777	27	4	8	6	4	0	2	11	36	2	0	105	18	43	17	25	25	6	2	0	0	162	18	405	198	293	182	154	1734	4905	3093	439	2428	805	2805	4713	718	48	2	32	70	92	154	129	33	71	9	810	378	56	128	156	190	62	23	87	390	364	321	191	998	4763	1738	571	706	426	4	1467	2445	2481	212	391	31	614	1086	779	70	4	173	2774	1626	4	654	105	4744	93	793	10680	68	83161.0
hsa-miR-574-3p	1050	422	273	232	306	757	1618	2427	682	5676	112	2007	37	5	12	8	5	3	5	49	282	58	38	764	96	720	37	31	48	17	4	2	4	284	39	889	247	700	483	46	1397	1908	2304	126	3713	515	614	2308	1609	68	34	210	160	219	702	416	77	236	39	3963	2922	821	129	1153	1272	253	124	215	3119	1866	3475	2128	1625	1703	850	458	709	402	10	2137	1361	1058	100	125	29	502	1897	378	18	7	65	1340	434	6	632	159	2600	117	392	5103	117	82904.0
hsa-miR-139-5p	145	152	16	15	55	458	4023	4848	81	2910	2	58	0	0	3	4	3	0	5	5	0	2	3	9	8	2	2	33	37	2	0	2	2	12	20	32	17	36	27	98	2465	6568	3956	281	1223	343	2247	8245	269	0	0	18	61	8	30	6	0	25	18	495	99	43	32	143	87	6	10	33	322	456	80	166	1047	3113	1484	399	417	334	10	2094	3125	1560	145	142	21	709	1692	368	7	15	153	1682	702	5	1040	130	4236	38	434	12827	102	78893.0
hsa-miR-197-3p	1756	696	367	287	396	1018	942	3252	803	6578	45	3944	49	0	21	7	4	0	0	49	178	35	8	394	29	256	17	44	28	4	2	0	0	196	13	181	55	376	220	28	579	3082	1266	72	5840	1089	897	2730	551	7	5	16	52	74	147	57	11	52	25	519	817	202	97	169	441	24	34	56	728	331	780	272	1476	3570	648	342	1197	1253	16	1994	1365	1215	414	177	70	381	1017	361	33	24	220	813	212	5	1122	142	7050	111	780	8326	160	77794.0
hsa-miR-1260b	46	20	12	19	6	26	3353	10112	52	6	14	210	2	0	8	5	4	0	2	15	116	24	20	426	53	254	29	7	15	3	0	0	0	103	15	179	52	275	205	34	962	5650	1820	158	2025	364	1013	4358	245	43	1	14	75	24	52	71	18	54	17	311	282	33	77	60	138	12	18	58	453	123	214	168	349	6175	1116	275	354	193	3	949	4618	1539	232	322	29	214	767	552	32	0	489	2066	967	7	572	2	5056	73	705	15216	9	77496.0
hsa-miR-543	749	769	61	94	357	3248	630	920	671	28577	0	205	6	0	0	0	0	0	0	0	0	0	9	9	0	12	4	53	63	0	0	0	0	237	2	221	186	181	187	58	1986	5285	4511	279	1988	2089	2389	4877	946	19	2	29	39	65	117	179	16	48	47	970	356	295	93	102	276	3	6	36	404	601	387	531	265	1250	1046	120	33	29	30	207	731	353	22	119	29	295	260	47	34	22	151	1241	423	3	77	202	529	49	148	1673	192	76060.0
hsa-miR-874-3p	1584	906	451	483	675	5217	538	1432	922	13479	25	792	76	3	20	9	2	4	2	82	124	31	70	430	70	167	24	290	232	23	0	3	0	331	21	362	405	499	358	40	585	1722	945	111	2802	549	611	2307	674	269	41	131	142	117	268	309	96	301	52	1938	1469	577	206	751	696	194	46	172	1736	1060	1240	1509	407	1253	1693	457	989	373	79	950	693	1226	122	315	227	991	1762	760	223	110	403	1021	199	49	1345	744	1615	480	349	2225	855	75723.0
hsa-miR-769-5p	1574	754	370	445	697	2767	858	2192	1106	17170	17	1103	95	0	0	4	2	0	0	123	306	112	247	1012	179	302	34	107	101	10	0	0	2	333	4	325	421	304	357	57	521	1025	636	92	744	857	762	1608	561	97	8	72	67	46	416	319	186	165	43	1266	1211	277	61	595	550	58	51	52	1602	905	1210	1245	479	1919	1290	815	655	411	51	1054	946	993	353	374	91	722	815	1269	91	62	363	1220	312	25	232	541	3208	219	336	4239	503	74386.0
hsa-miR-18a-3p	364	193	49	46	107	369	1575	2435	173	2105	24	330	5	2	0	0	4	0	2	0	2	9	3	8	2	13	10	147	153	4	0	0	0	249	4	193	130	369	208	192	764	4245	2031	183	8126	794	3327	2524	5920	17	2	43	67	42	247	94	22	44	49	419	636	117	20	1315	226	2	3	49	970	238	583	273	1775	1355	2943	518	1215	467	56	1074	1821	2915	353	173	94	1196	1566	892	87	70	147	2957	402	23	655	675	2147	258	371	3409	480	72964.0
hsa-miR-338-3p	3404	2038	329	318	543	759	1062	4377	1744	2824	91	1214	194	15	46	25	32	7	10	133	274	46	17	976	103	428	54	80	83	30	12	17	16	476	110	291	1235	506	639	116	927	1103	1013	144	463	2527	1185	4152	482	243	20	202	188	237	579	636	220	257	37	138	112	28	10	164	345	128	93	299	194	357	61	98	927	3042	776	752	953	575	28	1221	1004	924	203	173	74	494	873	283	83	36	169	1018	1212	28	574	330	4423	159	679	9002	302	71633.0
hsa-miR-493-5p	0	2	0	0	0	0	1002	2030	6	0	0	8	0	0	0	0	2	0	0	0	6	0	0	27	3	3	0	2	0	0	3	0	0	257	0	700	115	371	297	250	5082	6442	8953	628	1603	4760	5184	18316	1585	5	0	8	26	88	55	268	0	2	8	258	225	89	6	105	109	0	2	24	464	209	163	212	160	3015	822	33	11	22	0	92	555	253	2	74	0	224	266	38	0	0	67	1092	329	0	30	6	1294	0	105	2552	8	71013.0
hsa-miR-449a	13052	4865	2617	1549	2440	4623	44	28	3484	14970	0	3690	523	0	0	0	0	0	0	17	73	13	42	147	73	161	9	40	43	0	0	0	0	1936	0	1645	657	1209	1006	22	5	13	21	0	16	17	11	33	15	169	0	48	35	242	299	1642	14	30	33	6156	32	31	774	32	17	35	12	30	8	653	10	11	317	24	8	15	6	9	22	11	13	18	20	11	43	5	10	23	34	28	13	8	25	12	8	315	42	60	6	60	250	70834.0
hsa-miR-877-5p	5675	2195	766	771	1064	1317	1569	3128	1678	829	24	2787	272	0	4	3	0	0	0	3	10	5	0	74	0	56	2	28	12	23	0	0	0	876	0	833	164	823	603	110	560	1500	813	154	1255	852	848	2851	1265	29	2	12	32	44	75	493	9	33	6	621	1708	229	46	738	501	9	6	39	2528	662	1065	715	416	2997	1418	137	172	142	0	387	1743	1507	243	113	10	635	913	207	20	0	1223	2334	262	4	216	48	3925	19	274	5959	77	70805.0
hsa-miR-33a-5p	126	147	102	76	98	148	896	6451	618	385	25	490	26	7	2	3	0	0	4	104	136	20	28	623	190	172	122	17	27	0	5	0	2	8	11	44	44	15	42	176	1268	1475	1287	280	504	3907	1709	4376	991	14	14	36	193	30	33	30	9	156	19	637	847	425	86	595	676	78	39	157	963	665	654	1297	522	3718	1437	696	397	235	12	665	936	1757	57	394	19	506	1210	346	14	9	112	1984	3815	0	764	95	2162	23	568	12699	63	70054.5
hsa-miR-485-3p	373	250	19	51	160	1293	1044	1630	277	11849	2	102	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	21	38	0	0	0	0	467	0	611	242	551	554	58	1504	5433	4671	347	1904	1436	3963	6079	475	13	0	7	33	93	93	317	4	20	9	619	501	126	69	64	289	4	2	37	495	322	394	176	233	3182	2512	92	37	45	12	206	949	631	11	150	17	590	387	87	15	14	247	2742	396	8	60	132	1517	41	198	3107	117	66834.0
hsa-miR-130b-5p	398	288	46	69	149	1281	2420	3715	316	10900	4	192	6	0	0	0	2	0	0	0	6	4	23	16	21	19	7	19	27	2	0	0	0	475	2	828	210	795	423	75	1036	3232	1829	255	1236	547	2226	3204	461	33	0	6	82	81	220	238	6	30	11	361	503	60	52	96	228	13	2	54	250	292	305	249	221	3082	2145	186	167	98	12	427	2750	1755	92	101	28	726	1208	232	28	14	670	3413	604	7	152	160	1527	47	518	5259	133	65698.0
hsa-miR-1180-3p	2460	1222	701	1084	869	1461	250	412	1052	7820	10	1815	282	0	11	2	0	2	0	0	5	0	8	39	4	8	0	103	74	5	0	0	0	2559	3	1366	565	1430	1001	142	305	3133	630	86	6480	299	2041	658	2274	486	0	101	136	188	511	1173	138	295	60	1910	1241	345	296	267	594	172	71	177	912	983	1101	762	424	21	1763	175	315	145	45	179	420	985	79	63	118	442	985	232	150	32	81	1072	187	24	417	359	111	163	120	267	221	64185.0
hsa-miR-7-5p	274	163	140	73	152	173	1456	4004	348	873	24	548	14	0	2	0	2	3	0	17	21	0	2	169	14	84	2	10	28	6	0	0	0	149	0	214	233	474	317	272	1020	2757	1699	270	5415	1274	1548	4491	3087	91	2	11	47	85	103	176	3	55	21	115	296	26	15	2055	215	16	12	137	944	155	191	87	533	1366	3559	446	263	139	12	381	2281	1796	91	62	9	986	2795	41	33	6	80	2714	1313	13	637	223	2769	34	438	4301	70	64071.079999999994
hsa-miR-376a-3p	179	186	21	21	70	782	321	1961	174	7686	0	59	2	0	0	0	2	0	0	3	0	0	0	0	0	0	0	13	9	0	0	0	0	259	2	371	109	189	384	245	2642	3428	4088	454	1052	5453	3661	14835	2301	131	0	13	35	100	52	272	7	42	8	92	265	82	46	272	255	6	7	29	620	159	130	113	63	2461	774	46	7	0	3	44	258	215	7	93	9	154	187	49	12	11	157	711	820	0	18	63	1028	10	101	2894	48	63942.7
hsa-miR-34c-3p	21147	6916	3962	2958	2809	1946	0	0	4240	720	0	11174	860	0	0	0	0	0	0	2	61	2	7	105	16	34	0	8	7	0	0	0	0	291	0	501	335	330	266	2	0	5	0	0	0	6	0	0	2	58	7	184	94	81	404	342	19	312	99	1968	39	6	124	8	13	257	139	270	20	332	29	9	31	6	0	6	3	2	0	2	0	4	0	0	0	0	4	0	0	0	4	5	2	0	0	21	0	0	4	2	10	63632.0
hsa-miR-24-2-5p	326	239	130	116	171	266	2272	5667	499	7	15	1099	25	2	4	11	2	0	0	11	18	0	0	32	2	6	4	5	6	7	5	2	2	106	25	256	36	108	164	121	1162	1181	1420	142	455	1400	1262	7573	673	20	0	25	54	20	105	108	5	37	4	60	56	17	10	107	84	11	8	55	128	88	29	110	332	5235	1247	478	290	176	2	901	2397	1386	123	273	0	659	984	446	2	0	73	2129	1019	0	371	8	4456	12	337	10929	0	62440.5
hsa-miR-204-5p	36	56	4	10	0	9	28	67	10	19	195	54	0	0	4	0	3	0	0	19	42	5	12	180	6	107	2	379	222	10	0	0	0	81	15	146	20	128	43	0	5	18	9	2	507	15	9	38	267	5	301	4679	4078	7	34	43	0	14160	4187	789	265	20	80	69	33	7801	5102	8232	619	510	117	84	7	55	19	4	9	6	282	25	9	52	8	0	1019	10	22	2	842	307	0	9	8	119	5	855	74	1785	15	53	1625	61223.0
hsa-miR-19a-3p	143	143	27	41	67	457	797	3314	277	3558	12	231	8	0	0	4	0	0	0	16	30	3	5	105	0	35	2	0	0	2	2	0	0	0	0	13	9	15	16	201	1716	1617	1572	138	1712	4063	1703	2443	3307	2	2	11	54	16	20	26	0	27	4	226	589	169	50	1906	474	18	7	30	718	346	402	620	834	2200	1090	182	385	235	0	312	832	1638	75	69	0	537	1923	75	2	0	44	1124	2657	0	671	83	2278	8	522	7395	6	58696.34999999999
hsa-miR-148a-5p	1612	858	244	403	700	5594	262	744	856	21640	29	642	60	4	3	5	2	2	2	108	838	416	84	1508	138	972	195	525	608	19	6	0	0	48	10	32	45	68	48	19	66	157	164	28	207	261	209	606	186	9	6	136	118	18	92	69	11	181	167	271	288	53	17	293	187	15	11	42	483	342	190	244	216	739	310	103	177	96	246	298	270	210	78	58	423	185	207	217	329	305	282	350	74	101	111	2279	1064	870	86	1581	1877	57618.0
hsa-miR-181d-5p	589	226	146	125	155	136	2665	4380	176	163	9	364	15	0	12	7	4	2	2	24	45	10	2	103	7	47	2	12	2	7	0	6	0	462	8	390	100	271	175	71	706	1866	1113	139	942	884	719	3228	574	25	0	13	38	29	97	202	16	13	2	202	62	16	5	138	80	12	17	45	266	172	34	71	304	3869	1812	313	163	122	0	760	3675	1665	163	209	4	757	673	304	18	0	504	2835	671	4	185	36	6021	26	321	8814	23	56895.02
hsa-miR-505-3p	430	188	137	99	122	162	1116	2394	580	22	13	1484	34	0	6	0	0	0	0	12	32	13	2	89	25	38	7	13	4	2	0	0	0	85	7	108	39	135	105	122	1644	3960	2222	252	2432	2253	3025	4598	2168	28	0	35	88	28	34	55	6	84	11	352	375	226	55	403	311	36	34	63	364	487	316	492	557	1852	1016	424	319	212	0	731	1646	1046	78	147	24	547	1257	194	41	0	116	1274	1111	7	433	26	2147	35	982	6065	26	56375.0
hsa-miR-664a-5p	2706	1386	403	365	795	3146	1242	1689	1068	17596	11	1339	89	5	19	2	2	0	0	36	57	4	12	145	8	134	3	157	158	11	0	2	0	153	6	105	17	121	55	36	263	616	348	68	278	265	299	1044	169	0	4	72	68	6	42	76	0	92	27	204	144	30	6	144	85	52	42	65	251	102	79	89	237	1607	1006	136	117	84	59	294	1383	1025	62	51	71	525	581	80	89	61	1075	1653	132	12	128	553	2159	216	112	2918	466	55005.0
hsa-miR-3929	1202	1220	157	182	661	6201	14	0	980	42145	4	295	14	0	0	0	0	0	0	0	0	0	2	0	0	0	0	109	110	0	0	0	0	5	5	0	2	0	5	0	0	0	0	0	0	2	0	0	0	0	0	34	22	2	30	0	0	39	58	0	2	7	0	0	2	0	0	6	0	0	0	2	16	0	0	4	11	2	37	6	0	7	0	0	66	7	0	2	62	53	88	16	0	20	0	476	2	169	2	2	359	54926.0
hsa-miR-362-5p	1939	1568	658	533	799	1479	629	1103	1774	2425	180	3131	115	0	55	0	0	4	0	10	106	44	26	127	55	48	3	266	180	60	2	0	0	688	32	829	998	1004	1566	141	297	1091	762	46	2435	365	948	2100	1170	453	2	51	97	257	819	618	461	163	47	362	102	54	36	1097	140	67	57	118	545	241	90	129	673	568	1227	655	1083	186	84	655	804	984	136	174	188	616	1289	510	249	34	120	1002	370	40	687	530	830	467	226	1473	455	54112.0
hsa-miR-185-3p	764	575	87	155	419	3329	838	1876	581	16328	19	345	11	0	2	8	4	0	0	2	12	2	0	33	6	6	2	57	67	16	0	2	0	5	15	9	8	14	4	58	514	1315	838	93	1563	458	1136	2001	1035	2	0	27	34	2	48	0	4	29	57	55	62	28	0	352	37	0	0	21	207	69	77	92	448	1600	975	285	357	137	19	452	1004	1167	120	207	47	389	438	614	30	27	365	1021	336	13	285	347	2379	123	175	4196	206	53577.0
hsa-miR-202-5p	4	0	0	0	2	5	0	0	0	20	0	0	0	0	0	0	0	0	0	2	8	0	5	68	5	30	0	0	0	0	0	0	0	0	0	0	16	0	0	6	204	7	132	0	8	131	4	4	7	0	0	0	0	0	12	9	2	0	0	2810	7545	2033	176	7589	3299	0	0	0	10865	3951	4836	9459	34	2	6	9	3	2	0	12	0	0	6	0	0	4	8	2	0	0	0	0	0	0	9	0	0	0	0	2	0	53353.0
hsa-miR-320d	1112	416	124	249	321	1357	285	527	395	6820	105	377	68	31	203	64	21	11	3	55	68	29	86	252	27	224	23	100	137	99	13	2	5	3700	132	858	1755	4127	1011	58	69	558	187	58	877	288	285	389	689	1061	13	75	137	207	1870	1329	178	198	62	783	914	417	56	465	576	41	28	81	671	795	832	1657	405	375	1086	225	254	109	54	397	331	619	141	116	83	479	1057	433	67	60	552	664	69	14	777	456	608	168	173	1699	366	52927.06000000001
hsa-miR-324-5p	429	303	64	74	148	781	692	1675	378	4812	17	576	28	0	0	5	2	0	0	49	105	27	11	290	11	183	26	15	26	4	0	4	0	47	10	60	105	65	82	105	1119	2297	1926	156	3823	1202	1815	4407	2153	41	3	20	77	20	164	50	20	32	16	351	380	163	28	481	120	30	7	26	517	265	421	275	1454	1456	934	631	986	306	5	830	746	815	102	336	15	284	607	809	21	8	62	825	673	4	825	169	2124	61	214	3892	104	52912.0
