name	SRX3848837	SRX3848836	SRX3848835	SRX3848834	SRX3848833	SRX3848832	SRX3848831	SRX3848830	SRX3848839	SRX3848838	SRX3848843	SRX3848840	SRX3848841	SRX3848846	SRX3848847	SRX3848844	SRX3848845	SRX3848848	SRX3848849	SRX3848792	SRX3848793	SRX3848790	SRX3848791	SRX3848796	SRX3848797	SRX3848794	SRX3848795	SRX3848798	SRX3848799	SRX3848851	SRX3848850	SRX3848853	SRX3848852	SRX3848855	SRX3848854	SRX3848857	SRX3848856	SRX3848859	SRX3848858	SRX3848781	SRX3848780	SRX3848783	SRX3848782	SRX3848785	SRX3848784	SRX3848787	SRX3848786	SRX3848789	SRX3848788	SRX3848864	SRX3848865	SRX3848866	SRX3848867	SRX3848860	SRX3848861	SRX3848862	SRX3848863	SRX3848868	SRX3848869	SRX3848883	SRX3848880	SRX3848881	SRX3848879	SRX3848878	SRX3848873	SRX3848872	SRX3848871	SRX3848870	SRX3848877	SRX3848876	SRX3848875	SRX3848874	SRX3848808	SRX3848809	SRX3848806	SRX3848807	SRX3848804	SRX3848805	SRX3848803	SRX3848800	SRX3848801	SRX3848819	SRX3848818	SRX3848815	SRX3848814	SRX3848817	SRX3848816	SRX3848811	SRX3848810	SRX3848813	SRX3848812	SRX3848820	SRX3848821	SRX3848822	SRX3848823	SRX3848824	SRX3848825	SRX3848826	SRX3848827	SRX3848828	SRX3848829
sense_overlapping#sense	0.02	0.01	0.03	0.05	0.15	0.02	0.0	0.01	0.09	0.01	0.03	0.02	0.09	0.06	0.05	0.06	0.03	0.05	0.01	0.07	0.06	0.02	0.08	0.05	0.07	0.08	0.1	0.02	0.1	0.03	0.01	0.02	0.01	0.04	0.03	0.05	0.11	0.07	0.07	0.04	0.01	0.01	0.0	0.03	0.01	0.01	0.01	0.01	0.01	0.23	0.09	0.22	0.17	0.14	0.15	0.12	0.17	0.12	0.12	0.06	0.05	0.11	0.14	0.05	0.08	0.09	0.09	0.14	0.05	0.08	0.05	0.08	0.05	0.0	0.04	0.28	0.17	0.11	0.1	0.07	0.0	0.01	0.12	0.11	0.07	0.01	0.02	0.17	0.02	0.07	0.01	0.02	0.04	0.34	0.04	0.1	0.0	0.04	0.11	0.0	0.12	6.859999999999999
sense_intronic#antisense	0.02	0.03	0.03	0.05	0.04	0.03	0.0	0.0	0.03	0.02	0.01	0.02	0.09	0.02	0.01	0.02	0.01	0.02	0.01	0.05	0.03	0.06	0.41	0.04	0.13	0.04	0.06	0.03	0.06	0.01	0.01	0.01	0.01	0.04	0.01	0.06	0.07	0.05	0.04	0.04	0.0	0.02	0.0	0.02	0.02	0.0	0.03	0.0	0.02	0.25	0.05	0.14	0.08	0.05	0.05	0.07	0.04	0.11	0.12	0.06	0.05	0.07	0.1	0.03	0.04	0.08	0.08	0.08	0.04	0.05	0.05	0.06	0.03	0.0	0.03	0.06	0.04	0.04	0.09	0.03	0.0	0.01	0.05	0.06	0.07	0.02	0.02	0.08	0.03	0.05	0.01	0.03	0.02	0.44	0.03	0.09	0.0	0.05	0.05	0.0	0.08	5.089999999999998
nonsense_mediated_decay#antisense	0.01	0.01	0.02	0.04	0.02	0.02	0.0	0.01	0.02	0.01	0.03	0.02	0.06	0.05	0.05	0.03	0.04	0.05	0.01	0.06	0.05	0.05	0.07	0.05	0.09	0.03	0.05	0.01	0.1	0.02	0.02	0.05	0.01	0.04	0.04	0.02	0.06	0.04	0.03	0.01	0.0	0.01	0.0	0.01	0.01	0.01	0.01	0.0	0.0	0.12	0.14	0.19	0.05	0.08	0.09	0.09	0.08	0.16	0.16	0.07	0.05	0.09	0.08	0.01	0.05	0.13	0.14	0.08	0.02	0.04	0.06	0.07	0.05	0.0	0.04	0.06	0.05	0.06	0.1	0.05	0.0	0.01	0.07	0.07	0.05	0.02	0.03	0.12	0.01	0.03	0.01	0.03	0.02	0.09	0.03	0.14	0.0	0.02	0.07	0.0	0.12	4.849999999999999
hairpin#sense	0.01	0.01	0.01	0.01	0.01	0.01	0.15	0.06	0.01	0.05	0.03	0.01	0.0	0.02	0.01	0.02	0.01	0.04	0.0	0.09	0.26	0.02	0.09	0.07	0.11	0.04	0.02	0.01	0.01	0.01	0.0	0.0	0.01	0.02	0.03	0.02	0.01	0.02	0.01	0.04	0.11	0.15	0.24	0.08	0.06	0.08	0.07	0.16	0.02	0.01	0.0	0.0	0.0	0.01	0.01	0.02	0.01	0.01	0.0	0.03	0.02	0.03	0.02	0.01	0.03	0.0	0.0	0.0	0.02	0.03	0.03	0.03	0.02	0.05	0.04	0.02	0.03	0.03	0.01	0.03	0.17	0.09	0.02	0.04	0.02	0.05	0.05	0.03	0.01	0.01	0.08	0.06	0.09	0.08	0.01	0.01	0.06	0.01	0.03	0.07	0.01	3.879999999999995
processed_pseudogene#sense	0.02	0.01	0.02	0.04	0.02	0.02	0.0	0.0	0.02	0.01	0.03	0.02	0.04	0.03	0.04	0.03	0.04	0.04	0.01	0.07	0.04	0.07	0.13	0.07	0.07	0.03	0.07	0.01	0.04	0.01	0.01	0.05	0.01	0.12	0.05	0.03	0.05	0.08	0.06	0.02	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.08	0.08	0.09	0.03	0.07	0.11	0.07	0.08	0.07	0.08	0.05	0.06	0.09	0.06	0.02	0.04	0.06	0.06	0.04	0.03	0.06	0.06	0.1	0.04	0.0	0.02	0.05	0.04	0.05	0.04	0.03	0.0	0.01	0.04	0.06	0.02	0.01	0.01	0.05	0.0	0.02	0.0	0.02	0.01	0.06	0.02	0.06	0.0	0.01	0.05	0.0	0.05	3.8099999999999987
sense_overlapping#antisense	0.01	0.0	0.01	0.02	0.02	0.01	0.0	0.0	0.01	0.01	0.01	0.01	0.05	0.03	0.02	0.04	0.01	0.01	0.0	0.01	0.0	0.0	0.01	0.01	0.01	0.0	0.0	0.01	0.06	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.05	0.04	0.01	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.08	0.05	0.08	0.14	0.05	0.04	0.05	0.04	0.08	0.08	0.03	0.02	0.05	0.05	0.01	0.03	0.08	0.07	0.12	0.01	0.02	0.03	0.03	0.02	0.0	0.02	0.03	0.03	0.03	0.05	0.02	0.0	0.01	0.03	0.03	0.03	0.01	0.01	0.03	0.01	0.01	0.0	0.01	0.02	0.07	0.03	0.07	0.0	0.01	0.05	0.0	0.06	2.499999999999998
unprocessed_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.17	0.0	0.01	0.01	0.35	0.04	0.1	0.24	0.0	0.02	0.03	0.01	0.03	0.03	0.06	0.01	0.03	0.0	0.0	0.07	0.02	0.05	0.02	0.0	0.57	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.03	0.0	0.0	0.02	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.03	0.01	0.01	0.02	0.01	0.02	0.02	0.0	0.0	0.02	0.02	0.02	0.02	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.01	2.319999999999997
miRNA#antisense	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.06	0.06	0.02	0.09	0.1	0.23	0.05	0.09	0.01	0.03	0.01	0.0	0.0	0.0	0.04	0.0	0.02	0.02	0.02	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.04	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.0	0.0	0.02	0.02	0.01	0.01	0.01	0.0	0.0	0.01	0.02	0.01	0.0	0.0	0.03	0.01	0.01	0.0	0.0	0.0	0.04	0.0	0.01	0.0	0.02	0.02	0.0	0.01	1.5800000000000007
rRNA#antisense	0.0	0.0	0.01	0.03	0.02	0.02	0.0	0.0	0.0	0.01	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.02	0.07	0.07	0.03	0.02	0.02	0.01	0.05	0.06	0.01	0.01	0.03	0.02	0.0	0.01	0.05	0.06	0.06	0.0	0.01	0.01	0.02	0.01	0.0	0.02	0.01	0.01	0.03	0.02	0.01	0.0	0.0	0.01	0.02	0.03	0.01	0.01	0.02	0.0	0.01	0.0	0.01	0.0	0.02	0.01	0.07	0.0	0.01	0.02	0.0	0.04	1.2900000000000007
macro_lncRNA#sense	0.0	0.0	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.02	0.08	0.11	0.02	0.02	0.02	0.01	0.05	0.05	0.01	0.01	0.02	0.02	0.0	0.01	0.04	0.04	0.1	0.01	0.01	0.01	0.02	0.01	0.0	0.01	0.02	0.01	0.02	0.02	0.01	0.0	0.0	0.01	0.02	0.02	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.02	0.01	0.03	0.0	0.01	0.02	0.0	0.03	1.1500000000000004
snoRNA#antisense	0.0	0.0	0.01	0.01	0.01	0.01	0.0	0.0	0.02	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.05	0.0	0.01	0.01	0.01	0.02	0.02	0.02	0.0	0.01	0.0	0.01	0.02	0.0	0.01	0.0	0.01	0.04	0.01	0.01	0.02	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.01	0.03	0.02	0.02	0.02	0.01	0.01	0.03	0.03	0.01	0.01	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.01	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.0	0.0	0.02	0.0	0.01	0.9800000000000005
scaRNA#sense	0.02	0.02	0.02	0.01	0.02	0.01	0.02	0.03	0.01	0.0	0.0	0.01	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.02	0.02	0.02	0.03	0.01	0.03	0.02	0.02	0.02	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.02	0.01	0.03	0.02	0.01	0.01	0.01	0.0	0.01	0.03	0.01	0.01	0.01	0.0	0.01	0.02	0.01	0.0	0.0	0.01	0.02	0.02	0.0	0.01	0.01	0.03	0.0	0.01	0.03	0.01	0.9400000000000006
unprocessed_pseudogene#sense	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.01	0.01	0.0	0.01	0.0	0.02	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.02	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.03	0.03	0.04	0.02	0.03	0.03	0.02	0.03	0.03	0.02	0.01	0.01	0.02	0.0	0.01	0.03	0.03	0.04	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.02	0.01	0.02	0.01	0.02	0.0	0.0	0.01	0.02	0.01	0.0	0.0	0.02	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.02	0.0	0.01	0.02	0.0	0.02	0.9200000000000005
bidirectional_promoter_lncRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.03	0.04	0.02	0.06	0.12	0.01	0.02	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.01	0.01	0.05	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.0	0.01	0.01	0.0	0.0	0.01	0.02	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.01	0.01	0.01	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.8000000000000004
misc_RNA#antisense	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.02	0.02	0.03	0.03	0.02	0.01	0.02	0.01	0.03	0.03	0.01	0.01	0.02	0.02	0.0	0.01	0.02	0.03	0.03	0.01	0.01	0.01	0.02	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.02	0.01	0.01	0.0	0.01	0.02	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.02	0.0	0.0	0.01	0.0	0.02	0.7200000000000004
hairpin#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.01	0.02	0.0	0.0	0.23	0.01	0.01	0.0	0.0	0.0	0.0	0.19	0.0	0.01	0.0	0.02	0.04	0.0	0.0	0.6900000000000002
Mt_tRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.02	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.03	0.0	0.0	0.01	0.0	0.02	0.02	0.01	0.0	0.0	0.0	0.0	0.05	0.01	0.0	0.06	0.01	0.01	0.01	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.03	0.03	0.0	0.0	0.4700000000000001
macro_lncRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.03	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.01	0.01	0.02	0.01	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.0	0.0	0.01	0.0	0.01	0.4100000000000002
otherRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.02	0.01	0.0	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.03	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.37000000000000016
piRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.21000000000000005
microRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.21000000000000005
transcribed_unprocessed_pseudogene#sense	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.01	0.01	0.0	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.21000000000000005
bidirectional_promoter_lncRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.02	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21000000000000002
TEC#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.03	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.16
non_coding#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16
TR_J_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.02	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.02	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.16
transcribed_unprocessed_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.02	0.0	0.0	0.0	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12999999999999998
pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.11
transcribed_processed_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.02	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09999999999999999
3prime_overlapping_ncRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08
ribozyme#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07
